"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7aXuldX1C1OIWdFGGDZlbu","vaporgroove ~","spotify:artist:2pU9qrYI6KKvYO0I3io8nM, spotify:artist:4SO5n5ed18AAFhbndSQWsv","VAAV Social Club, Iden Kai","spotify:album:2D1r01r3ZgUpURmPHXreaY","vaporgroove (singles)","spotify:artist:2pU9qrYI6KKvYO0I3io8nM","VAAV Social Club","2022-09-15","https://i.scdn.co/image/ab67616d0000b2731dde329c1b85f6a0fffa02c1","1","1","203761","https://p.scdn.co/mp3-preview/16620fdf0e7f2763c1b59ab23e8d9d9b0424b802?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QZNWT2295645","spotify:user:","2022-11-04T06:07:07Z"
"spotify:track:3GaZcx0QO6uT5ZGNSYNxZF","Dawn Rest","spotify:artist:0Hoo2QCcZxJ8VOl53hr5AB","Zai Kowen","spotify:album:15ZIvjrhbmzUsGL7C8bENn","Dawn Rest","spotify:artist:0Hoo2QCcZxJ8VOl53hr5AB","Zai Kowen","2022-10-13","https://i.scdn.co/image/ab67616d0000b2732eced70590d1a3886850b4a6","1","1","221888","https://p.scdn.co/mp3-preview/601e7cb3deb2293ad3bfbbb05a6e83e1d64ac5fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","QZNWY2241722","spotify:user:","2022-11-04T06:07:07Z"
"spotify:track:6FZSt1tVtKtj20gmqgIfNt","Cosmic Palace","spotify:artist:1AOsohWDEAkuaJElJnHfkx, spotify:artist:4WWpuWvJQum5ylWMjvDPHT","DavZ, Decisive Koala","spotify:album:0PlJciYp4lDHeB9IaAxYrt","Cosmic Palace","spotify:artist:1AOsohWDEAkuaJElJnHfkx, spotify:artist:4WWpuWvJQum5ylWMjvDPHT","DavZ, Decisive Koala","2022-10-28","https://i.scdn.co/image/ab67616d0000b273a373725f37ed4a0b19dba2ed","1","1","254080","https://p.scdn.co/mp3-preview/fdda9ba77156bee8da22edb59326aaa07a926584?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","QZTAS2239494","spotify:user:","2022-11-04T06:07:07Z"
"spotify:track:6KVCMAVyNw88EP3IIwK4MD","♍︎❒︎⍓︎⬧︎⧫︎♋︎●︎ ♌︎♋︎●︎●︎","spotify:artist:0GiURWTLt5k0URszhyxt9s, spotify:artist:5i7PL36PdMQfPVxLudI090, spotify:artist:0gF93jqUmpFOFEtBKXWFiA","L a z u l i _ y e l l o w, Vivi Vulture, Donor Lens","spotify:album:5p4jf5AH2qd8NlLZOWKfOE","♍︎❒︎⍓︎⬧︎⧫︎♋︎●︎ ♌︎♋︎●︎●︎","spotify:artist:0GiURWTLt5k0URszhyxt9s, spotify:artist:5i7PL36PdMQfPVxLudI090, spotify:artist:0gF93jqUmpFOFEtBKXWFiA","L a z u l i _ y e l l o w, Vivi Vulture, Donor Lens","2022-09-14","https://i.scdn.co/image/ab67616d0000b273f15168d120b3149f12ea482e","1","1","176000","https://p.scdn.co/mp3-preview/ad8a7fc88377d1efc8c05386ea30311e3dac96ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBWUL2275491","spotify:user:","2022-11-04T06:07:07Z"
"spotify:track:0ZOfbmMrmdKF4uQcgISxs9","City Lights - Betamaxx Remix","spotify:artist:6nPggL1KGOD5Ba0yK0cxmb, spotify:artist:3uIfha7lvdSsoFeJNJS3vJ","FM Attack, Betamaxx","spotify:album:5FUZdUXNGAWLg6bdlb5eou","City Lights","spotify:artist:6nPggL1KGOD5Ba0yK0cxmb, spotify:artist:3uIfha7lvdSsoFeJNJS3vJ","FM Attack, Betamaxx","2022-10-28","https://i.scdn.co/image/ab67616d0000b273573132f209d0456645dfc82d","1","1","271500","https://p.scdn.co/mp3-preview/5f18f10a7a8c36f4f44243c6b36927e77ae9a16c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","QZNWY2291796","spotify:user:","2022-11-04T06:07:07Z"
"spotify:track:0xKwqVyNXbJhebBphoG6kT","Better Than This","spotify:artist:7ustec6RrECyewmYxf4cIa","Dan Mason ダン·メイソン","spotify:album:6K5SSoqA3aDUHjlxUgqnnt","Sever","spotify:artist:7ustec6RrECyewmYxf4cIa","Dan Mason ダン·メイソン","2022-10-28","https://i.scdn.co/image/ab67616d0000b273e512da5a50ac062141ee0d6e","1","1","213975","https://p.scdn.co/mp3-preview/b7806f1aa4f34eaee18d7608531e05fd8a83947a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QZPLR2264389","spotify:user:","2022-11-04T06:07:07Z"
"spotify:track:4WrNFImUv1m2GWGL0QbfVi","Coriahosanota - Slowed + Reverb","spotify:artist:0NdkJzmD9OHILInIu6rbjO, spotify:artist:3PkF2MgUKkl7yrwoQMoY4j, spotify:artist:2AtYJoC6VmUtkxonmVnbVR","Ralph Rodolen, slow//reverb, Ryan Celsius Sounds","spotify:album:5us4FupvPJKwSIwqdzEIlK","METHBREATH (Deluxe Edition)","spotify:artist:0NdkJzmD9OHILInIu6rbjO, spotify:artist:2AtYJoC6VmUtkxonmVnbVR","Ralph Rodolen, Ryan Celsius Sounds","2022-10-21","https://i.scdn.co/image/ab67616d0000b2737090191bd48dad3b05e3abb1","1","18","204000","https://p.scdn.co/mp3-preview/e44d778c2ca5ebf51a98564f57ac8f8e084db5c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","SE6QE2200501","spotify:user:","2022-11-04T06:07:07Z"
"spotify:track:7KTCqS2ABjYUfEXRm4w8SV","Oso","spotify:artist:6yR7RysQJaTayvmT0Bx8zt","AURAGRAPH","spotify:album:1B0OTswqyimuHF5OEI4uyO","Tropics 1","spotify:artist:6yR7RysQJaTayvmT0Bx8zt","AURAGRAPH","2022-10-14","https://i.scdn.co/image/ab67616d0000b27386cb2090915b41999f8aa256","1","1","208831","https://p.scdn.co/mp3-preview/de338600bcd44c3f82c097763e26a9492b7c3890?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QZJCP2200164","spotify:user:","2022-11-04T06:07:07Z"
"spotify:track:7madjnY55LX4skgykYGE9M","Dream Voices","spotify:artist:2HFza51jWgaXRlxCIdkGNb, spotify:artist:5i7PL36PdMQfPVxLudI090","Aexion, Vivi Vulture","spotify:album:1q4rHri3np1XYucC17h4ST","Dream Voices","spotify:artist:2HFza51jWgaXRlxCIdkGNb, spotify:artist:5i7PL36PdMQfPVxLudI090","Aexion, Vivi Vulture","2022-10-26","https://i.scdn.co/image/ab67616d0000b27336ca15ad0d2518d2e30d5d5b","1","1","293875","https://p.scdn.co/mp3-preview/81dc6881d7a57ceb7b12a7269d38f2297556cb45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","SE62M2209298","spotify:user:","2022-11-04T06:07:07Z"
"spotify:track:0QaT5oD5ZPo1zPjWdy8znu","weight by density","spotify:artist:1A5KhSFYk9BtgfnsuF3rff","Sonavision Deluxe","spotify:album:2z3q5ZMTosa4U0mv6bWMOx","weight by density","spotify:artist:1A5KhSFYk9BtgfnsuF3rff","Sonavision Deluxe","2022-10-19","https://i.scdn.co/image/ab67616d0000b2731f7990556e69d375f898be61","1","1","217584","https://p.scdn.co/mp3-preview/27588622fe5a04ad41b7719ca352f9089ec6299b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","QZTAS2220568","spotify:user:","2022-11-04T06:07:07Z"
