"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0TBn49AjkNufCRJ2O5VJ6s","World In My Eyes","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:0Tg76MY2wNK4j37iCb6qyH","Violator (Deluxe)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1990-03-19","https://i.scdn.co/image/ab67616d0000b273234bbbad4dce31cd2950af3e","1","1","267040","https://p.scdn.co/mp3-preview/8967c872799c103a29048741bf92506c7eb6ab73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBAJH0600287","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T10:52:10Z"
"spotify:track:1XSjN64QCdFauII9t0IaGk","Sweetest Perfection","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:0Tg76MY2wNK4j37iCb6qyH","Violator (Deluxe)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1990-03-19","https://i.scdn.co/image/ab67616d0000b273234bbbad4dce31cd2950af3e","1","2","282346","https://p.scdn.co/mp3-preview/adbb5e1df7e3a5264c7270c9d18374de2e2d32c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBAJH0600288","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T10:52:10Z"
"spotify:track:2wUlYDGGXlSvm2NkGj0Qio","Personal Jesus","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:0Tg76MY2wNK4j37iCb6qyH","Violator (Deluxe)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1990-03-19","https://i.scdn.co/image/ab67616d0000b273234bbbad4dce31cd2950af3e","1","3","294773","https://p.scdn.co/mp3-preview/bb7d0f54950d7765f604983e442aa1b75a4d2337?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBAJH0600289","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T10:52:10Z"
"spotify:track:6Rr6wXmEx6w6dsBuqqKJa3","Halo","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:0Tg76MY2wNK4j37iCb6qyH","Violator (Deluxe)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1990-03-19","https://i.scdn.co/image/ab67616d0000b273234bbbad4dce31cd2950af3e","1","4","268493","https://p.scdn.co/mp3-preview/3dfa3b04e9e9c5fe1efd90cf23066998888f88fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBAJH0600290","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T10:52:10Z"
"spotify:track:1VEIMGVXj7713dHY9gZLyU","Waiting for the Night","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:0Tg76MY2wNK4j37iCb6qyH","Violator (Deluxe)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1990-03-19","https://i.scdn.co/image/ab67616d0000b273234bbbad4dce31cd2950af3e","1","5","367466","https://p.scdn.co/mp3-preview/d3e87dd8a907f430f8e9ade325431003cc95f33b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAJH0600291","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T10:52:10Z"
"spotify:track:1JekRMGQ8iN4G1AAdh0SBa","Enjoy the Silence","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:0Tg76MY2wNK4j37iCb6qyH","Violator (Deluxe)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1990-03-19","https://i.scdn.co/image/ab67616d0000b273234bbbad4dce31cd2950af3e","1","6","372866","https://p.scdn.co/mp3-preview/77507ca48ab17722b78ecc9d7cb602193f4990ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAJH0600292","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T10:52:10Z"
"spotify:track:0Mb20VmqR2lvtgbEermW2v","Policy of Truth","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:0Tg76MY2wNK4j37iCb6qyH","Violator (Deluxe)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1990-03-19","https://i.scdn.co/image/ab67616d0000b273234bbbad4dce31cd2950af3e","1","7","293986","https://p.scdn.co/mp3-preview/8cd457731cd6d23156dc76356c0d004692770f50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAJH0600293","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T10:52:10Z"
"spotify:track:5wmrY6ZtM1q7Q2FAoOG48r","Blue Dress","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:0Tg76MY2wNK4j37iCb6qyH","Violator (Deluxe)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1990-03-19","https://i.scdn.co/image/ab67616d0000b273234bbbad4dce31cd2950af3e","1","8","338373","https://p.scdn.co/mp3-preview/25175d93a96cdb6a92a72d018be8fbc55accc708?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBAJH0600294","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T10:52:10Z"
"spotify:track:7Eb5WxoHyG3V9pd4XGaqQb","Clean","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:0Tg76MY2wNK4j37iCb6qyH","Violator (Deluxe)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1990-03-19","https://i.scdn.co/image/ab67616d0000b273234bbbad4dce31cd2950af3e","1","9","332933","https://p.scdn.co/mp3-preview/77dd934a9c31af031d0807623b8782da6e477e1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBAJH0600295","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T10:52:10Z"
"spotify:track:3PGRdlUoWnj8NHmbA5xTYS","Dangerous","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:0Tg76MY2wNK4j37iCb6qyH","Violator (Deluxe)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1990-03-19","https://i.scdn.co/image/ab67616d0000b273234bbbad4dce31cd2950af3e","1","10","261186","https://p.scdn.co/mp3-preview/08d708de355ad8f0550d22af60c689f1e4761083?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBAJH0400037","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T10:52:10Z"
