"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2OhDTL7tp1pr4MyP69wiyI","Infinite Love without Fulfilment","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","1","95346","https://p.scdn.co/mp3-preview/7d8477eaafb5a76c65bafc47c6ab4165a4e4c397?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","CA21O1200001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:0yljUudXzjVcGEoYmLB17X","Genesis","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","2","255320","https://p.scdn.co/mp3-preview/30cb10937f86a6cb00a54516de2cedc0d962f076?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","CA21O1200002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:4BY4V1T0RJK1HmD2Q0ClyK","Oblivion","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","3","251266","https://p.scdn.co/mp3-preview/ef54244377a6bc6a5a7e5a062c51911b7dcf800a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","CA21O1200003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:2ghSaPTZNyvntrHYB8cPew","Eight","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","4","107853","https://p.scdn.co/mp3-preview/d6cc4f34550113ea1d4dbe4bb9d719ad6fde906c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","CA21O1200004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:5r0jr87B9qeUni4yDpo2AI","Circumambient","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","5","223026","https://p.scdn.co/mp3-preview/62d90075d711cb314f467210eb9f8f2d7196c5d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","CA21O1200005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:4nf0O7JRi5wtth5LqHQS8N","Vowels = space and time","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","6","261120","https://p.scdn.co/mp3-preview/25f876f38762e799a2d3342752235b86b59acad7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","CA21O1200006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:4oiUXa6wYoykN9K0RgXIo9","Visiting Statue","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","7","118853","https://p.scdn.co/mp3-preview/d06e9c4d465996172b46597401f4725a5e29da6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","CA21O1200007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:1bXHMidMrVaiBkpGo05Ze5","Be a Body","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","8","260413","https://p.scdn.co/mp3-preview/10d7e44aac9df04160c6a5eebee762ae099bcff5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","CA21O1200008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:6d9nQK2zdlQtsV0pnjq7k9","Colour of Moonlight (Antiochus)","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:1YAv2yohpdjlPVbtqZCGLY","Grimes, Doldrums","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","9","239706","https://p.scdn.co/mp3-preview/b7da3bb222bfeba891fc2b2bfa3cff7750b212da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","CA21O1200009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:4W0P9MNb70qBqBR2leLb7j","Symphonia IX (My Wait Is U)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","10","292506","https://p.scdn.co/mp3-preview/1c148a413c7ae40af70ea380a4cc901e008629a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","CA21O1200010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:6x9Uxt8e299oOl21ibsJWn","Nightmusic","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:4BEYBN6NCPrFk3sOLMTby3","Grimes, Majical Cloudz","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","11","238293","https://p.scdn.co/mp3-preview/c94a27ff0d8a8b3907573b60090da68c3d248acd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","CA21O1200011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:2qrN6zt4CmsHCOzq7jaZk0","Skin","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","12","369493","https://p.scdn.co/mp3-preview/454c2994a6de7dd4d2b61ba7c371e172d1955112?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","CA21O1200012","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
"spotify:track:0LvQvKVOXYeo9Cy8PYd3Xm","Know the Way","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7aPolrSqVawIhC7iTo2b5F","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-03-12","https://i.scdn.co/image/ab67616d0000b273918fee4073aa392349123e63","1","13","104880","https://p.scdn.co/mp3-preview/01c409626c374ba24a57b95283bb5b0d7ab5bd02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","CA21O1200013","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T03:07:46Z"
