"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0spUUU1iTuxzy4c0LXkK3q","Changes I","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:28eVo9A3giQCjAWNvtf6gS","Visions of Shadows that Shine","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2015-12-07","https://i.scdn.co/image/ab67616d0000b273aff7d4aab9c8337503567523","1","1","206213","https://p.scdn.co/mp3-preview/ecb4bd880c9ec10f59dff0b46ce2e09c9b9dea90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","USE831524673","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T22:18:59Z"
"spotify:track:7Gp7AIAYmxhYfRTU7IfBYC","The Vision of the Face at the Well","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:28eVo9A3giQCjAWNvtf6gS","Visions of Shadows that Shine","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2015-12-07","https://i.scdn.co/image/ab67616d0000b273aff7d4aab9c8337503567523","1","2","375466","https://p.scdn.co/mp3-preview/50cd55a8953d686e20286d969bf7c7a7b3eecc49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USE831524674","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T22:18:59Z"
"spotify:track:482ZXjpfylLND8i77ACobO","Pied Piper","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:28eVo9A3giQCjAWNvtf6gS","Visions of Shadows that Shine","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2015-12-07","https://i.scdn.co/image/ab67616d0000b273aff7d4aab9c8337503567523","1","3","279893","https://p.scdn.co/mp3-preview/f5ac2a55969d9982e37c88f534c930066f37503d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USE831524675","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T22:18:59Z"
"spotify:track:0jVC6faQTFuwqmNEpVwuoW","Days and nights","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:28eVo9A3giQCjAWNvtf6gS","Visions of Shadows that Shine","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2015-12-07","https://i.scdn.co/image/ab67616d0000b273aff7d4aab9c8337503567523","1","4","351573","https://p.scdn.co/mp3-preview/6f314f4c956ad10481bd3b5f754ed18df38932e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","USE831524676","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T22:18:59Z"
"spotify:track:77dB65KX3oKFVwgMczUC3k","Blessings of the Day","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:28eVo9A3giQCjAWNvtf6gS","Visions of Shadows that Shine","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2015-12-07","https://i.scdn.co/image/ab67616d0000b273aff7d4aab9c8337503567523","1","5","139946","https://p.scdn.co/mp3-preview/5e3a077e2d5ce8363d19317ca5067e045108d740?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USE831524677","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T22:18:59Z"
"spotify:track:5WdfR1s7GvUKGa3zNQKWik","Across the Universe","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:28eVo9A3giQCjAWNvtf6gS","Visions of Shadows that Shine","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2015-12-07","https://i.scdn.co/image/ab67616d0000b273aff7d4aab9c8337503567523","1","6","256000","https://p.scdn.co/mp3-preview/ee9eeb5f10b247f1cf2a70852082ce6ffcb91f8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USE831524678","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T22:18:59Z"
"spotify:track:6j9b4Zi0KKnKqsksFXQAFV","Attics of My Life","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:28eVo9A3giQCjAWNvtf6gS","Visions of Shadows that Shine","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2015-12-07","https://i.scdn.co/image/ab67616d0000b273aff7d4aab9c8337503567523","1","7","307200","https://p.scdn.co/mp3-preview/99e28e2e442c85684cdb92619e189ba52d9e942a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","USE831524679","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T22:18:59Z"
"spotify:track:0UBtU046zMAhqFVHY1O5m2","The River","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:28eVo9A3giQCjAWNvtf6gS","Visions of Shadows that Shine","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2015-12-07","https://i.scdn.co/image/ab67616d0000b273aff7d4aab9c8337503567523","1","8","182613","https://p.scdn.co/mp3-preview/c73a1dbfbabbf3d358c56cf795dabc43d58d6e52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USE831524680","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T22:18:59Z"
"spotify:track:6XXDRwRKdQGXrXSjC6AJKH","Garden of Love","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:28eVo9A3giQCjAWNvtf6gS","Visions of Shadows that Shine","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2015-12-07","https://i.scdn.co/image/ab67616d0000b273aff7d4aab9c8337503567523","1","9","532480","https://p.scdn.co/mp3-preview/7a95da67e95ecdc566f330ac9610bdee79bebf85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","USE831524681","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T22:18:59Z"
"spotify:track:3kkUxWlrSJtkUQwKG7JqpY","Changes II","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:28eVo9A3giQCjAWNvtf6gS","Visions of Shadows that Shine","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2015-12-07","https://i.scdn.co/image/ab67616d0000b273aff7d4aab9c8337503567523","1","10","208586","https://p.scdn.co/mp3-preview/c7a10f1ea32c772355387f28fe3267adf38e30ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","USE831524682","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T22:18:59Z"
