"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:28sa14rbWiHZPs9m1IeDI5","The Pusher","spotify:artist:1WRM9i067hd2ujxxi8FI3m","Steppenwolf","spotify:album:14Gu72n79AHDrcFWJ86mdc","Born To Be Wild (Best Of....)","spotify:artist:1WRM9i067hd2ujxxi8FI3m","Steppenwolf","1991-01-01","https://i.scdn.co/image/ab67616d0000b273287e2cf62977ea9cac9619aa","1","6","348560","","false","0","USMC16946566","spotify:user:11129212033","2017-03-07T22:01:39Z"
"spotify:track:7AL6qzIDHIX7pEUWrzNiIs","Hurdy Gurdy Man","spotify:artist:6vLlQYujOujIrm7zAKzEdG","Donovan","spotify:album:22fHNsb3nrjDdPoKF7kdPz","The Hurdy Gurdy Man","spotify:artist:6vLlQYujOujIrm7zAKzEdG","Donovan","1968-10","https://i.scdn.co/image/ab67616d0000b273eb7263ecabf3ff77a5384ded","1","1","193466","https://p.scdn.co/mp3-preview/a239d072c0db0d4f70b1dab190b0f5deaa2f6231?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USSM19912397","spotify:user:11129212033","2017-03-07T22:02:01Z"
"spotify:track:3skk6UIXV4kepq2bdYy97g","I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","spotify:album:4nQe6IzubN7cE7EWzrIvu4","The Yes Album (Deluxe Edition)","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","1971-02-19","https://i.scdn.co/image/ab67616d0000b27381973b1e448ef835d8aaf077","1","4","413346","https://p.scdn.co/mp3-preview/e917ae77b85e07d674bc93c75e302203eca8c8f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USEE10251879","spotify:user:11129212033","2017-03-07T22:02:36Z"
"spotify:track:0YveezON7jpiaHA8fnUHxN","Roundabout - 2003 Remaster","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","spotify:album:0dZF93WHyOhTWjz5EWM7yG","Fragile (Deluxe Edition)","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","1971-11-26","https://i.scdn.co/image/ab67616d0000b27397f9466138456632edb5c00e","1","1","510573","https://p.scdn.co/mp3-preview/352aef9c9c69db94a3100ae1550607634fd27ccd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USEE10251885","spotify:user:11129212033","2017-03-07T22:03:51Z"
"spotify:track:1uIp4Asu33mSB0KPCHEnD1","Head Over Heels","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","spotify:album:2QvjpprdnoMP1TRrNqRZjI","Tears Roll Down (Greatest Hits 82-92)","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","1992","https://i.scdn.co/image/ab67616d0000b2736fbb8993a9f551208090c42e","1","5","254573","","false","0","GBF088590112","spotify:user:11129212033","2017-03-07T22:04:11Z"
"spotify:track:1gL3LDWNEc5KoIcHL0XBJq","She's Doing Fine","spotify:artist:51JB2WnbKx5FmdpeSyuL1R","Violet Sedan Chair","spotify:album:6RAqcsR9isSsVmKu0OYHdj","Seven Suns","spotify:artist:51JB2WnbKx5FmdpeSyuL1R","Violet Sedan Chair","2011-02-07","https://i.scdn.co/image/ab67616d0000b273a58ca7825d31cae07ea2f1cc","1","4","197580","https://p.scdn.co/mp3-preview/065cc18dbcc0af84bd4aefa1f71ce7344af55e43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","QMYK61100004","spotify:user:11129212033","2017-03-07T22:04:35Z"
"spotify:track:7AUOZzM5P8UDuA0zga0PP8","Science Fiction/Double Feature","spotify:artist:0aIOdrjH5s3hJqxmKoAEUg","Richard O'Brien","spotify:album:4QviryaneolcRmDB57SLco","The Rocky Horror Picture Show - Original Soundtrack","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1975-01-10","https://i.scdn.co/image/ab67616d0000b2737bcc78f88610d99eaa8c9b50","1","1","272448","https://p.scdn.co/mp3-preview/08f3996ab10384786d0995af5818c23f4145d53e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USA560853989","spotify:user:11129212033","2017-03-07T22:05:44Z"
"spotify:track:2cLQVZ7nv5thdNX6mEAVC0","The Losing End (When You're On) - 2009 Remaster","spotify:artist:6v8FB84lnmJs434UJf2Mrm, spotify:artist:0oi7g8NUnlLh5tJvg2y5e3","Neil Young, Crazy Horse","spotify:album:70Yl2w1p00whfnC7fj94ox","Everybody Knows This Is Nowhere","spotify:artist:6v8FB84lnmJs434UJf2Mrm, spotify:artist:0oi7g8NUnlLh5tJvg2y5e3","Neil Young, Crazy Horse","1969-05-14","https://i.scdn.co/image/ab67616d0000b273e2047a1ae1720aeb016f8c48","1","5","246560","","false","0","USRE10900233","spotify:user:11129212033","2017-03-07T22:06:12Z"
"spotify:track:0plCazD5B9XGKqJgxhgRJm","Strange Brew","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","spotify:album:4SMNUQCyTvlO4vFEdXXG45","Disraeli Gears (Remastered)","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","1967-11-02","https://i.scdn.co/image/ab67616d0000b2739f68634169de36a93f28c5ea","1","1","166600","","false","0","GBA076700010","spotify:user:11129212033","2017-03-07T22:06:31Z"
"spotify:track:14XWXWv5FoCbFzLksawpEe","Riders on the Storm","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","spotify:album:7IKUTIc9UWuVngyGPtqNHS","L.A. Woman","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","1971-04-19","https://i.scdn.co/image/ab67616d0000b27320783882533e669760741df2","1","10","434720","https://p.scdn.co/mp3-preview/0d7d4d35554f6097fce04d464f7aacd7c6f59727?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USEE19900773","spotify:user:11129212033","2017-03-07T22:06:50Z"
