"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:753VK7P3zxfJVMBv0UxnwM","ウィ・アー・ジ・ワン","spotify:artist:2hGDAhezELu9olOncSWZYI","Sadao Watanabe","spotify:album:4aG89csD221I6sPJMhAfeR","DIGGIN' VICTOR (The Compilation) Deep Into The Vaults Of Japanese Fusion & AOR selected by MURO","spotify:artist:0pzEkpWlGKQjuWMRlnCBuA","MURO","2018-05-09","https://i.scdn.co/image/ab67616d0000b2737ecc07a309847ee3b4d237ef","1","13","361466","https://p.scdn.co/mp3-preview/54e654e9c941ae883b759ec9c7950ae3f8846838?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","JPVI07900070","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2021-06-19T09:22:54Z"
"spotify:track:2llFlNkPX4hW1M3HLdEMBm","ブリーズ","spotify:artist:3iIErrW9Zsp3U4UqrB71jq","Jiro Inagaki and His Soul Media","spotify:album:6XJZInF8Eg8hLBGNKTeHEI","ファンキー・スタッフ","spotify:artist:3iIErrW9Zsp3U4UqrB71jq","Jiro Inagaki and His Soul Media","1975-01-25","https://i.scdn.co/image/ab67616d0000b27387af363f9702e794f50682de","1","3","277160","https://p.scdn.co/mp3-preview/3e739abcd40d9a4c818fc94eb83adefc0f5636b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","JPCO07479840","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2021-06-02T06:41:34Z"
"spotify:track:4kXX1dTN3aw9JNznU9G3oU","ロマンス","spotify:artist:2FatNL7pp4gwt10zTQHzbA","鈴木 弘","spotify:album:7DIXqjTX8IlgSKRR7DrhB9","キャット","spotify:artist:2FatNL7pp4gwt10zTQHzbA","鈴木 弘","1976","https://i.scdn.co/image/ab67616d0000b273fcdf7d0b11c9131ff6a74244","1","5","353386","https://p.scdn.co/mp3-preview/c37ee686474890ede06c715923413cf026c29572?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","JPCO07584370","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2021-06-06T13:43:21Z"
"spotify:track:6ggCUjC5j2uhighYnTee8X","キスカ","spotify:artist:41hQ0PoEyj9xEBhwt73aWC","Tatsuro Yamashita","spotify:album:6PnbwR4pgQQZDrLUdw6Kc7","PACIFIC","spotify:artist:370nbSkMB9kDWyTypwWYak, spotify:artist:4yN4amq8cBHHQ49NzFOO5Z, spotify:artist:41hQ0PoEyj9xEBhwt73aWC","Haruomi Hosono, Shigeru Suzuki, Tatsuro Yamashita","1978","https://i.scdn.co/image/ab67616d0000b273a7177b1d4c69494024e02579","1","7","325533","https://p.scdn.co/mp3-preview/377e76fd3d43ed598669b1062355976d298648b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","JPSR07804350","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2021-06-06T13:43:29Z"
"spotify:track:6xnPEnL1cyJsEcqoD4PGea","THAT'S THE WAY OF THE WORLD","spotify:artist:2Ex4vjQ6mSh5woTlDWto6d","Masayoshi Takanaka","spotify:album:20ku6CzcC5hFmNxoCaOzzJ","オン・ギター","spotify:artist:2Ex4vjQ6mSh5woTlDWto6d","Masayoshi Takanaka","1994-06-25","https://i.scdn.co/image/ab67616d0000b273863f4540e18c97fd196d1116","1","7","374600","https://p.scdn.co/mp3-preview/394565f023f6ef48716d625c1fd31ccb01fff009?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","JPVI07805450","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2021-06-18T08:42:09Z"
"spotify:track:2lDWcdrWOA33pmM9jjDrtF","リンズ・ガーデン・ブルース","spotify:artist:04Qskn9fEqsX3Th2dCmW0U","本田竹曠","spotify:album:4aG89csD221I6sPJMhAfeR","DIGGIN' VICTOR (The Compilation) Deep Into The Vaults Of Japanese Fusion & AOR selected by MURO","spotify:artist:0pzEkpWlGKQjuWMRlnCBuA","MURO","2018-05-09","https://i.scdn.co/image/ab67616d0000b2737ecc07a309847ee3b4d237ef","1","12","220133","https://p.scdn.co/mp3-preview/d33f561851d99df756bff8aa40620d7ce74725b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","JPVI07800200","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2021-06-19T09:22:44Z"
"spotify:track:1Sv1YyRB542Ue3u0V5Icrj","テイク・ミー - Live at Chuo Kaikan Hall, Tokyo, Feb. 1982","spotify:artist:0lRXEutklZUeNdWIJA1NI0","CASIOPEA","spotify:album:29NhQQczRcrmdB1974HtYX","LIVING ON A FEELING〜CASIOPEA night selection","spotify:artist:0lRXEutklZUeNdWIJA1NI0","CASIOPEA","2009-10-14","https://i.scdn.co/image/ab67616d0000b273b7b4c85915b5bae4dee06fef","1","9","292933","https://p.scdn.co/mp3-preview/44972a605229daebb16b83cca1014481d49d6e45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","JPAL00900810","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2021-06-18T08:42:16Z"
"spotify:track:38LUbz74v3nmP8x0efElw2","Last Summer Whisper","spotify:artist:0xGtOrmB2hnrNRLG3vhpSo","Anri","spotify:album:74XLaVRIeHY51nuXcC5RuS","Heaven Beach","spotify:artist:0xGtOrmB2hnrNRLG3vhpSo","Anri","1982-11-21","https://i.scdn.co/image/ab67616d0000b273e5cdab693bda0ed0bcffe334","1","2","299680","https://p.scdn.co/mp3-preview/992b8f4b9a349f3f1fe61860aad2db11833c8ba2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","JPFL08210190","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2021-06-18T08:42:28Z"
"spotify:track:4Ad4HmvkDvFZ5eYaxQcTKh","SUMMER BLUE","spotify:artist:3OldswvDMARe1uWLYSrdEz","Bread And Butter","spotify:album:7mmAMvs6tZsPhgXyDmSYEz","Late Late Summer","spotify:artist:3OldswvDMARe1uWLYSrdEz","Bread And Butter","1979","https://i.scdn.co/image/ab67616d0000b2732808476c56d6a2fbb0d58d56","1","8","239893","https://p.scdn.co/mp3-preview/0f3f499d5ab92eacdfaffb00fde6bce655334508?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","JPAL07900580","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2021-06-18T08:42:46Z"
"spotify:track:5WcMplcaFreAU51tsevw7f","In The Twilight","spotify:artist:5COMNbVWoe1Kb5UTFAaUwF","SOIL & “PIMP” SESSIONS","spotify:album:6fgtS1r1tqTmeaajgafrJN","MAN STEALS THE STARS","spotify:artist:5COMNbVWoe1Kb5UTFAaUwF","SOIL & “PIMP” SESSIONS","2019-12-04","https://i.scdn.co/image/ab67616d0000b2736ad9b4bb271abd8cf29f5b89","1","3","408640","","false","35","JPVI01903778","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2021-06-18T08:43:41Z"
