"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4bYKBEeblMr5KLOEMD7OHu","My Side of the Bed","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","1","208360","https://p.scdn.co/mp3-preview/e39cb4d09282f5953b70685a99a0bc234138ca01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USSM19000514","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
"spotify:track:1Kbkny3IhAJYYQJ1UL2Yca","No Kind Of Love","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","2","185333","https://p.scdn.co/mp3-preview/c61c11b287f3518e5f89dffac2ed16ce9d225f27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USSM19000509","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
"spotify:track:0rq7VJtic3ep4H4aOBg9op","Wishing On Telstar","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","3","251333","https://p.scdn.co/mp3-preview/ff74022717817a63ddf00afc3b497a04740322e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USSM19000518","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
"spotify:track:5cFLGAj06f0TAj8fjPKawG","That's Why Girls Cry","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","4","237826","https://p.scdn.co/mp3-preview/0f3842bea91989a6fd9c84bed6230da50f4f8249?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USSM19000510","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
"spotify:track:0TveaV3EBYBLNTqhTsSmlu","Unconditional Love","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","5","230000","https://p.scdn.co/mp3-preview/98b4bdb17121dedb9c112c2378f7701ea33305cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USSM19000517","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
"spotify:track:3FBYmwCpvP4SVHz3jrglej","Something New","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","6","230733","https://p.scdn.co/mp3-preview/b565adc94167226b45ab33e27fb1bc20b9417e57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USSM19000515","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
"spotify:track:6O5rqUlqvbaIAEL0KXA6hg","So Much For Love","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","7","212333","https://p.scdn.co/mp3-preview/0a678a941cc5ef63ca003a234da7399584fad8cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","USSM19000513","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
"spotify:track:541ldAKpA1kJH7f6UsfACE","This Time","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","8","155600","https://p.scdn.co/mp3-preview/e62aabed3af976b55f85ca3eab21689b7700699b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USSM19000516","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
"spotify:track:29kLaik7s8woznFMjGv2qW","Only Love","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","9","264893","https://p.scdn.co/mp3-preview/73d8d084cfc0ce3d5f8d504c98b58695099aac60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USSM19000512","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
"spotify:track:3uMZDez1PgM3xtcgvWknDd","It's Lonely Out Here","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","10","231200","https://p.scdn.co/mp3-preview/57374bb45cbf733be1c27123710353577f4ee5fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","USSM19000511","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
"spotify:track:3gk6QI8YIKCkY0RJ984ucg","Made Of Stone","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","11","192133","https://p.scdn.co/mp3-preview/b50092249ae7a3d0147a2e59112b0025b8b101e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","USSM19000507","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
"spotify:track:7978GVICfm7GUWu6yBTfkj","Boys Keep Swinging","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","spotify:album:5jggxDQtP1eGNgqOAThQSY","WHEN YOU'RE A BOY","spotify:artist:2Sc4ukCRllIu02LZfHF0RL","Susanna Hoffs","1991-01-29","https://i.scdn.co/image/ab67616d0000b27326d8cba105add1793679b417","1","12","299200","https://p.scdn.co/mp3-preview/21a4f4cf203dc55fccddc8b7658a1a554be78dda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USSM19000508","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:56:48Z"
