"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2cEx8Z8Of0qQu9Ict1MIMk","Fall","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","spotify:album:0Iq6APTGuGPe875jV0rIw2","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","2015-03-05","https://i.scdn.co/image/ab67616d0000b27370ea6a7940a1d5cb7c67586f","1","1","85399","https://p.scdn.co/mp3-preview/8a8d4aa3f633b854820a1b5ea3353d04c3aac280?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","uscgh1585912","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-11T08:11:53Z"
"spotify:track:785C6BpZ0YL3yUOJ8QuA6p","Unearth","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","spotify:album:0Iq6APTGuGPe875jV0rIw2","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","2015-03-05","https://i.scdn.co/image/ab67616d0000b27370ea6a7940a1d5cb7c67586f","1","2","217930","https://p.scdn.co/mp3-preview/a40ce5fc8e9722afe969da046d4f493fac2bb8a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","uscgh1585913","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-11T08:11:53Z"
"spotify:track:1NeNc7uDdCZWWYKoHMyu9A","Eternal","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","spotify:album:0Iq6APTGuGPe875jV0rIw2","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","2015-03-05","https://i.scdn.co/image/ab67616d0000b27370ea6a7940a1d5cb7c67586f","1","3","222008","https://p.scdn.co/mp3-preview/e16b2412f2008d993907c8b50413c6fcc76bed01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","uscgh1585914","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-11T08:11:53Z"
"spotify:track:0uMZbmAAgOhdMrv25iPEH6","Goth","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","spotify:album:0Iq6APTGuGPe875jV0rIw2","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","2015-03-05","https://i.scdn.co/image/ab67616d0000b27370ea6a7940a1d5cb7c67586f","1","4","207120","https://p.scdn.co/mp3-preview/9829dfaf2901ada80a443d6e35fc40028a32dddf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","uscgh1585915","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-11T08:11:53Z"
"spotify:track:4PExs7G9Bb5LU9hxeTmPVU","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","spotify:album:0Iq6APTGuGPe875jV0rIw2","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","2015-03-05","https://i.scdn.co/image/ab67616d0000b27370ea6a7940a1d5cb7c67586f","1","5","264039","https://p.scdn.co/mp3-preview/eebc094d3e8b714db297d739884e16267c4b689e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","uscgh1585916","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-11T08:11:53Z"
"spotify:track:1Ta0DEWo4exyC9Aqv8tVqY","Above","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","spotify:album:0Iq6APTGuGPe875jV0rIw2","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","2015-03-05","https://i.scdn.co/image/ab67616d0000b27370ea6a7940a1d5cb7c67586f","1","6","214515","https://p.scdn.co/mp3-preview/d9f035a0d888728272b618cd03479e9f8c765dbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","uscgh1585917","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-11T08:11:53Z"
"spotify:track:7uxQ9jdgsJRBTbv1yB1fwE","Pure","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","spotify:album:0Iq6APTGuGPe875jV0rIw2","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","2015-03-05","https://i.scdn.co/image/ab67616d0000b27370ea6a7940a1d5cb7c67586f","1","7","300073","https://p.scdn.co/mp3-preview/0e89d4d9d45b3938dcba14e5b1cc2888002a3398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","uscgh1585918","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-11T08:11:53Z"
"spotify:track:6mjeRHyraMc9lkNZM5fCQV","XXX","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","spotify:album:0Iq6APTGuGPe875jV0rIw2","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","2015-03-05","https://i.scdn.co/image/ab67616d0000b27370ea6a7940a1d5cb7c67586f","1","8","80059","https://p.scdn.co/mp3-preview/dbcc39d3a43e164d9ae528a8837b3f6627094571?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","uscgh1585919","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-11T08:11:53Z"
"spotify:track:3g6weBlIJbTeFtlAuSbQBm","Disappear","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","spotify:album:0Iq6APTGuGPe875jV0rIw2","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","2015-03-05","https://i.scdn.co/image/ab67616d0000b27370ea6a7940a1d5cb7c67586f","1","9","170037","https://p.scdn.co/mp3-preview/13868107039dd1d77d114dca743801d774a7698f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","uscgh1585920","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-11T08:11:53Z"
"spotify:track:3COUB16D7209jtIXX13zKS","Blood","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","spotify:album:0Iq6APTGuGPe875jV0rIw2","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","2015-03-05","https://i.scdn.co/image/ab67616d0000b27370ea6a7940a1d5cb7c67586f","1","10","134675","https://p.scdn.co/mp3-preview/97191fec93c354e10a36ab9d27a3b0923c537593?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","uscgh1585921","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-11T08:11:53Z"
