"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:65JbGMosLashVDi1EZffJG","On Moonlight Bay (with Paul Weston & His Orchestra & The Norman Luboff Choir)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey, spotify:artist:2SlGflGRxgwvQCRrsVLF8S","Doris Day, Paul Weston And His Orchestra, The Norman Luboff Choir","spotify:album:6Ltxm93iOwkB1rw6nBdLNS","With A Smile And A Song","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1948","https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e","1","1","147666","https://p.scdn.co/mp3-preview/8a61c6e270b58e8e7c20a3492e9cbd00750afe81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USSM15100210","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:05:20Z"
"spotify:track:5Wy5kMFCFpVGkIsASUB5jI","Till We Meet Again","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","spotify:album:6Ltxm93iOwkB1rw6nBdLNS","With A Smile And A Song","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1948","https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e","1","2","156666","https://p.scdn.co/mp3-preview/7fe0fa6b9d2aba0b336576244efe13ce5d2d617f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USSM19924479","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:05:20Z"
"spotify:track:7fiXpayHH0ycU6iAMyR8Lq","It Had to Be You (with Paul Weston & His Orchestra)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey","Doris Day, Paul Weston And His Orchestra","spotify:album:6Ltxm93iOwkB1rw6nBdLNS","With A Smile And A Song","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1948","https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e","1","3","159706","https://p.scdn.co/mp3-preview/cc4b25fa8310a10c898d5c730256e2919ae23ee8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USSM15100213","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:05:20Z"
"spotify:track:5g3tg7avxFKoJqrpOgWwud","I'll See You In My Dreams (with Paul Weston & His Orchestra & The Norman Luboff Choir)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey, spotify:artist:2SlGflGRxgwvQCRrsVLF8S","Doris Day, Paul Weston And His Orchestra, The Norman Luboff Choir","spotify:album:6Ltxm93iOwkB1rw6nBdLNS","With A Smile And A Song","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1948","https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e","1","4","194640","https://p.scdn.co/mp3-preview/b9f01abfbab38a07ce33675e2d2f0a64943abe79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USSM15100001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:05:20Z"
"spotify:track:6E8sSqoHXpxcVmART3Dpwq","It's Magic (with Percy Faith & His Orchestra)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:24DQLSng7bKZD4GXLIaQbv","Doris Day, Percy Faith & His Orchestra","spotify:album:6Ltxm93iOwkB1rw6nBdLNS","With A Smile And A Song","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1948","https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e","1","5","205906","https://p.scdn.co/mp3-preview/8cd14a77dbf6a107b9353bb61ad6c25fbbd46bbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USSM15200640","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:05:20Z"
"spotify:track:7MKqUmJ1URWZLITYgY7ce8","By the Light of the Silv'ry Moon (with Paul Weston & His Orchestra & The Norman Luboff Choir)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey, spotify:artist:2SlGflGRxgwvQCRrsVLF8S","Doris Day, Paul Weston And His Orchestra, The Norman Luboff Choir","spotify:album:6Ltxm93iOwkB1rw6nBdLNS","With A Smile And A Song","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1948","https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e","1","6","169880","https://p.scdn.co/mp3-preview/04b21c412691f3a01dd51f22f05acdc707397ee7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USSM11200231","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:05:20Z"
"spotify:track:6QvYd1DtICjfOYLFKHUIWy","Secret Love","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","spotify:album:6Ltxm93iOwkB1rw6nBdLNS","With A Smile And A Song","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1948","https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e","1","7","218253","https://p.scdn.co/mp3-preview/c9536fc2380549a6365604d1e2f9b15edb320a92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USSM10019612","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:05:20Z"
"spotify:track:1FZegjO9DYkeGK50JI9sv2","I Speak To The Stars (with Leith Stevens & His Orchestra) - From ""Lucky Me""","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:23ya7hLT8hL06MVeGVgb2D","Doris Day, Leith Stevens And His Orchestra","spotify:album:6Ltxm93iOwkB1rw6nBdLNS","With A Smile And A Song","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1948","https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e","1","8","181786","https://p.scdn.co/mp3-preview/65d44f926b9e9fdc293c9ad855acf8b0fad32572?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USSM15300149","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:05:20Z"
"spotify:track:3HEIf8RIJ2AEhwsaYrDOpR","Love Me or Leave Me","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","spotify:album:6Ltxm93iOwkB1rw6nBdLNS","With A Smile And A Song","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1948","https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e","1","9","138106","https://p.scdn.co/mp3-preview/4b08658f0b97434392a50bea2ce029a2eafb6aeb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USSM10111681","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:05:20Z"
"spotify:track:76UsyS5qgfUTPfmK7MitEQ","At Sundown","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","spotify:album:6Ltxm93iOwkB1rw6nBdLNS","With A Smile And A Song","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1948","https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e","1","10","92186","https://p.scdn.co/mp3-preview/05255afe31d716e61188bf2bc725b9effeefed51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USSM10024601","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:05:20Z"
