"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0psLv9YjcR0wGDmiP1kt6C","Johannes-Passion, BWV 245: No. 1, O Mensch, bewein dein Sünde groß - No. 2, Jesus ging mit seinen Jüngern","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:38hliKqnaGCbRmZcLNoDvX, spotify:artist:6Pyf6PjVrPkzOkXJDgvX6x, spotify:artist:01Ti9tP1kNrsjr5qE1sNIS, spotify:artist:3gdchu3GRExh4tF8ypQc9Y, spotify:artist:3iamDPaou6RYgX0C43Qm6j","Johann Sebastian Bach, Münchener Bach-Orchester, Münchener Bach-Chor, Ernst Haefliger, Hermann Prey, Karl Richter","spotify:album:3vQcDwOjfY0ABQqCZn1kMl","J.S. Bach: Johannes-Passion, BWV 245","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:3iamDPaou6RYgX0C43Qm6j, spotify:artist:38hliKqnaGCbRmZcLNoDvX","Johann Sebastian Bach, Karl Richter, Münchener Bach-Orchester","2019-11-01","https://i.scdn.co/image/ab67616d0000b273e30dbd34226c009526dd6252","1","1","876306","https://p.scdn.co/mp3-preview/bbf948dd75ae26f5fdb40c0e79272aec145e0cea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","ITCC51104469","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-24T16:34:25Z"
"spotify:track:6lahDdvnop8ywxGtohMVEm","Mozart: Horn Concerto No. 4 in E-Flat Major, K. 495: III. Rondo. Allegro vivace","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:2DO4p3CPDnInsJfg0jFfaF, spotify:artist:08C4m48uN8PsFIPgTS1KqK","Wolfgang Amadeus Mozart, English Chamber Orchestra, Jeffrey Tate","spotify:album:77FzBKOQlfepn2NRCfK0lP","Mozart Horn Concertos","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:0LyfQWJT6nXafLPZqxe9Of, spotify:artist:08C4m48uN8PsFIPgTS1KqK, spotify:artist:2DO4p3CPDnInsJfg0jFfaF","Wolfgang Amadeus Mozart, Various Artists, Jeffrey Tate, English Chamber Orchestra","1987","https://i.scdn.co/image/ab67616d0000b273776ae96242acca77f5d8b6eb","1","11","223946","https://p.scdn.co/mp3-preview/1943f467a05c9efb806f36610a0a7d2bc6f2c8fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAYC8500147","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-26T07:48:45Z"
"spotify:track:1P2luri2wqj83U5n6DxoGi","Etude for Piano No. 2 (Harp Version)","spotify:artist:69lxxQvsfAIoQbB20bEPFC, spotify:artist:7G4euSVDpdYDu5UHi8fcZG","Philip Glass, Julia Rovinsky","spotify:album:5umTHSNl4rQoUY7quf3lOp","Dark","spotify:artist:7G4euSVDpdYDu5UHi8fcZG","Julia Rovinsky","2012-04-10","https://i.scdn.co/image/ab67616d0000b2733404044033d3f190b8f4c977","1","2","419149","https://p.scdn.co/mp3-preview/aff3d2ebed06ee7ec76cc962b9dcf8fcfd95e442?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USA561082471","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-26T08:49:50Z"
"spotify:track:6DAYrg4Eb7Y520l5kkVkZg","The Indian Queen, Z. 630 : Act IV - Prelude And Song (Orazia): They Tell Us That Your Mighty Powers","spotify:artist:79zqMJ0Tc0wATqK0eszdsJ, spotify:artist:6HMdDtruCW0m37Bk4hT9pp, spotify:artist:3tMLo1k3iUo82coMLWXzxq","The Scholars Baroque Ensemble, John Dryden, Henry Purcell","spotify:album:1DJieRoYBSLGFCqW73SjAR","Purcell: The Indian Queen","spotify:artist:79zqMJ0Tc0wATqK0eszdsJ","The Scholars Baroque Ensemble","1998-01-01","https://i.scdn.co/image/ab67616d0000b2731c0709fe3f2fdebce3188d59","1","29","372066","https://p.scdn.co/mp3-preview/2579694266c4eca4c2cf3be7622bd8f27a72ee4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","HKI199649029","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-27T16:27:15Z"
"spotify:track:0YzMEu5sGNX0JKr9mdBtzd","The Dead Flag Blues","spotify:artist:4svpOyfmQKuWpHLjgy4cdK","Godspeed You! Black Emperor","spotify:album:7sh2Z8jj1iySpHRAnGd9w5","F♯ A♯ ∞","spotify:artist:4svpOyfmQKuWpHLjgy4cdK","Godspeed You! Black Emperor","1997-08-14","https://i.scdn.co/image/ab67616d0000b2738239a94043f709d8c4d596e0","1","1","987960","https://p.scdn.co/mp3-preview/270afd81b8705710a49947a8a3785426ec0c5f89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USI4R0401750","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-27T16:35:59Z"
"spotify:track:78b47rPEPrMFCA4QZvCmLH","Les pêcheurs de perles, WD 13, Act I: Je crois entendre encore","spotify:artist:2D7RkvtKKb6E5UmbjQM1Jd, spotify:artist:5GCz1F2oRhCO0s2V2OmVOA, spotify:artist:4tf4qUbwCkHR28VYqcpaUf, spotify:artist:62bapfSobIHcr52G8fAjlG","Georges Bizet, Cyrille Dubois, Orchestre National de Lille, Alexandre Bloch","spotify:album:1JTbDoJXqdOQqnVQIDxhFv","Bizet: Les pêcheurs de perles, WD 13","spotify:artist:2D7RkvtKKb6E5UmbjQM1Jd, spotify:artist:5GCz1F2oRhCO0s2V2OmVOA, spotify:artist:5NHctBM3TY3nSqZtkY9cQp, spotify:artist:4tf4qUbwCkHR28VYqcpaUf, spotify:artist:62bapfSobIHcr52G8fAjlG","Georges Bizet, Cyrille Dubois, Florian Sempey, Orchestre National de Lille, Alexandre Bloch","2018-05-04","https://i.scdn.co/image/ab67616d0000b273a70cc72e8c8feeb2a95ebf86","1","11","225173","https://p.scdn.co/mp3-preview/92ecbf3c84d72b5c1f5701ac4b85e191314af4b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","NLE421702611","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-02T01:16:20Z"
"spotify:track:2Yp5jnX3BcmDk9xEdXLkhN","Non, Je Ne Regrette Rien","spotify:artist:4R1ftFNKu1d0YNjqXwdqQv","Pablo Green & Javier Portero","spotify:album:3z4XE6lXpRkf8oZB2NfocG","Bajo El Cielo De París - Música Francesa","spotify:artist:4R1ftFNKu1d0YNjqXwdqQv","Pablo Green & Javier Portero","2004-01-01","https://i.scdn.co/image/ab67616d0000b2730e5196d00c5e2e893ff076ff","1","10","182186","https://p.scdn.co/mp3-preview/7ed1793d33ba86d36fe0b1dfb7adb2751455a81c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","ARA820601338","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-04T22:17:45Z"
"spotify:track:6qY7ZXXw5gMtbhy1VdxzTy","Messiah, HWV 56: Part I: And the glory of the Lord shall be revealed (Chorus)","spotify:artist:1QL7yTHrdahRMpvNtn6rI2, spotify:artist:79zqMJ0Tc0wATqK0eszdsJ","George Frideric Handel, The Scholars Baroque Ensemble","spotify:album:4y5w0aVMDYvm7J2TR0aeJd","Handel: Messiah","spotify:artist:1QL7yTHrdahRMpvNtn6rI2, spotify:artist:79zqMJ0Tc0wATqK0eszdsJ","George Frideric Handel, The Scholars Baroque Ensemble","1992-10-13","https://i.scdn.co/image/ab67616d0000b273e07b5c43e408a6a53169e7cc","1","4","157960","https://p.scdn.co/mp3-preview/06439f1c2bbe179ceeae72a6cce1fb661375c1f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","HKI199249504","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-12T17:08:54Z"
"spotify:track:2zlc2ouZDCpBFEsPNG7INk","The Masque of Hymen, the Last Act - Solo (Cupid): The Joys of Wedlock","spotify:artist:3tMLo1k3iUo82coMLWXzxq, spotify:artist:79zqMJ0Tc0wATqK0eszdsJ","Henry Purcell, The Scholars Baroque Ensemble","spotify:album:0T3hl4gYDC4MJySFd7RdDu","Purcell: Indian Queen (The)","spotify:artist:3tMLo1k3iUo82coMLWXzxq, spotify:artist:79zqMJ0Tc0wATqK0eszdsJ","Henry Purcell, The Scholars Baroque Ensemble","1998-01-01","https://i.scdn.co/image/ab67616d0000b2733d3371adab0b0649b371aecf","1","40","162400","","false","0","HKI199649040","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-12T17:09:43Z"
"spotify:track:7p03uAzZwHzQ2jnWKZrwfK","The Indian Queen, Z. 630, Act II - Dance, Solo (Fame) and Chorus: I Came to Sing Great Zempolla's S","spotify:artist:3tMLo1k3iUo82coMLWXzxq, spotify:artist:79zqMJ0Tc0wATqK0eszdsJ","Henry Purcell, The Scholars Baroque Ensemble","spotify:album:0T3hl4gYDC4MJySFd7RdDu","Purcell: Indian Queen (The)","spotify:artist:3tMLo1k3iUo82coMLWXzxq, spotify:artist:79zqMJ0Tc0wATqK0eszdsJ","Henry Purcell, The Scholars Baroque Ensemble","1998-01-01","https://i.scdn.co/image/ab67616d0000b2733d3371adab0b0649b371aecf","1","18","122266","","false","0","HKI199649018","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-12T17:15:26Z"
