"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0bXpmJyHHYPk6QBFj25bYF","Intro","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","spotify:album:2nXJkqkS1tIKIyhBcFMmwz","xx","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","2009-08-16","https://i.scdn.co/image/ab67616d0000b273055437bf35e8ba027bed0882","1","1","127920","","false","2","GBBKS0900196","spotify:user:11100324499","2020-10-06T03:51:43Z"
"spotify:track:6lhuBaygBqxBjdcXrM685k","Rue","spotify:artist:3uwAm6vQy7kWPS2bciKWx9","girl in red","spotify:album:0wwsKyplQfWHtLxlMvVkvP","Rue","spotify:artist:3uwAm6vQy7kWPS2bciKWx9","girl in red","2020-08-26","https://i.scdn.co/image/ab67616d0000b273ae10a08bee6a76a6e690a097","1","1","216831","","true","0","GBKPL2016777","spotify:user:11100324499","2020-10-06T03:44:38Z"
"spotify:track:62gSNpgczQdS5S7kWwVY5D","Depressed","spotify:artist:70KUgvg6pPsXmcSbL4qlmp","Leanboys","spotify:album:3l6vMEw6NQB3P3m2Nqw3qv","Depressed","spotify:artist:70KUgvg6pPsXmcSbL4qlmp","Leanboys","2017-12-13","https://i.scdn.co/image/ab67616d0000b273a8bfed62e16612be3dcbc3fd","1","1","106042","","true","0","CACWV1762765","spotify:user:11100324499","2020-10-06T03:43:00Z"
"spotify:track:7zqhUgWpWzwYnT9eewPJEK","The End","spotify:artist:46CitWgnWrvF9t70C2p1Me","Daughter","spotify:album:1vIlgkOpJRNd8EC8MbahU4","The End","spotify:artist:46CitWgnWrvF9t70C2p1Me","Daughter","2016-10-14","https://i.scdn.co/image/ab67616d0000b2731dfb1aa20db42a7d5737d155","1","1","329646","","true","0","GBAFL1500162","spotify:user:11100324499","2020-10-06T03:48:49Z"
"spotify:track:25RriQgYitvlhOso7ckY2r","Guilty Party","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:6zG9PHw8dlMLIyRE9TEGGk","Sleep Well Beast","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2017-09-08","https://i.scdn.co/image/ab67616d0000b2734711512fed9fa304cc13fa1d","1","9","338973","","false","0","GBAFL1700214","spotify:user:11100324499","2020-10-06T03:50:11Z"
"spotify:track:0ey9VL7lFerteaCVvahKYV","Sweetest Kill","spotify:artist:7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","spotify:album:794rJKMOPZdCzQx0iLWftF","Forgiveness Rock Record","spotify:artist:7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","2010-05-04","https://i.scdn.co/image/ab67616d0000b273eb9192ae4a0ed55c08ca38e9","1","11","309306","https://p.scdn.co/mp3-preview/ddb611d9ca226f9b7c3f92b0edf50d280b58dd98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","CAAA11005406","spotify:user:11100324499","2020-10-06T03:50:29Z"
"spotify:track:1gt7JO8kftjcKxPy42ztDF","Road Eyes","spotify:artist:6l2cddhlFnBmaLiUM4TyTx","Amusement Parks On Fire","spotify:album:3ug7wWliqrnqJni32ywXWM","Road Eyes (Deluxe)","spotify:artist:6l2cddhlFnBmaLiUM4TyTx","Amusement Parks On Fire","2010-10-10","https://i.scdn.co/image/ab67616d0000b273f445097b01fbf0cf03a91021","1","1","320560","https://p.scdn.co/mp3-preview/3ce86bc5101a0795dcbf02360709fb282ac78a7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","ushm21713114","spotify:user:11100324499","2020-10-06T03:38:39Z"
"spotify:track:3arsql2gOlBUnTaFpIjHqE","Love Songs on the Radio","spotify:artist:4jSYHcSo85heWskYvAULio","Mojave 3","spotify:album:6CZAmHVNFiaIYlC8DuRB3j","Ask Me Tomorrow","spotify:artist:4jSYHcSo85heWskYvAULio","Mojave 3","1995","https://i.scdn.co/image/ab67616d0000b273efb2554293d2f68743df2e53","1","1","348400","","false","0","GBAFL9500088","spotify:user:11100324499","2020-10-06T03:52:04Z"
"spotify:track:6sVQNUvcVFTXvlk3ec0ngd","Cherry-coloured Funk","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:37hHXJ7xas2Nb7Jbi8ip4E","Heaven Or Las Vegas (Remastered)","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b273276b940445d7ab5ae6ceba82","1","1","192466","","false","0","GBAFL9000062","spotify:user:11100324499","2020-10-06T03:52:14Z"
"spotify:track:7l5XWtUfIclO2xCTFvts8V","In Your Room","spotify:artist:1WOhabhnnH1k6KcD81xGD1","Airiel","spotify:album:3WG7osXmDwUsMt3QGNoYll","Winks & Kisses: Melted","spotify:artist:1WOhabhnnH1k6KcD81xGD1","Airiel","2004-02-10","https://i.scdn.co/image/ab67616d0000b2737440bdb8a8c02aff0a5ed93f","1","4","566466","","false","15","USBHM0510008","spotify:user:11100324499","2020-10-06T03:52:56Z"
"spotify:track:04ltqPsbBGsoolsFjqI4De","I'm Gone","spotify:artist:3TdVTSmMfLh55VrJDUpIQ2","Tamaryn","spotify:album:3I0nDycm2IVgc2waCVWxc7","Tender New Signs","spotify:artist:3TdVTSmMfLh55VrJDUpIQ2","Tamaryn","2012","https://i.scdn.co/image/ab67616d0000b273c24affabb4f6f569918a8fa9","1","1","284040","","false","0","QMV8L1212510","spotify:user:11100324499","2020-10-06T03:53:42Z"
"spotify:track:5ZJwj1m125lhcpjIvZr1Go","海と花束","spotify:artist:61H9d7hbIfFNxJJQmIL9AJ","Kinokoteikoku","spotify:album:2qqwUNewGqmBiV7jUdqqQd","ロンググッドバイ","spotify:artist:61H9d7hbIfFNxJJQmIL9AJ","Kinokoteikoku","2013-12-04","https://i.scdn.co/image/ab67616d0000b273c7943b4643b2f499383f3ca4","1","2","192773","https://p.scdn.co/mp3-preview/55bfb200a8596a06a0b3389f07651ced4c700658?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","JPB451303165","spotify:user:11100324499","2020-10-06T03:54:40Z"
"spotify:track:5EY0vmDSLnwaoeRTthogD2","Light From A Dead Star","spotify:artist:3ysp8GwsheDcBxP9q65lBg","Lush","spotify:album:5TdnjKBwbAYMZ3ZF3cGMgL","Split","spotify:artist:3ysp8GwsheDcBxP9q65lBg","Lush","1994","https://i.scdn.co/image/ab67616d0000b2739a450e3aaaeddc83b340e568","1","1","197293","","false","0","GBAFL9400109","spotify:user:11100324499","2020-10-06T03:55:03Z"
"spotify:track:2A0Rzes11fJBmvvpG4tGfm","In Undertow","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","spotify:album:5TGZvGolR6PoM1zYYyZNzX","Antisocialites","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","2017-09-08","https://i.scdn.co/image/ab67616d0000b273cf82e9f972caedcf41b6dfa0","1","1","197186","https://p.scdn.co/mp3-preview/39d847a4f3129ada5b6c72e7f2b2e5a7d755798d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","US3R41733401","spotify:user:11100324499","2020-10-06T03:56:30Z"
"spotify:track:67PKqkrdWea3K2K6kYjOjE","Who's Gonna Hold The Line","spotify:artist:0qhbCDBSjvtKJXyujrFdHP","Tacoma Radar","spotify:album:3FL15PhmhsId7fKeYS0iVm","No One Waved Goodbye","spotify:artist:0qhbCDBSjvtKJXyujrFdHP","Tacoma Radar","2004-01-01","https://i.scdn.co/image/ab67616d0000b2731f219fee2ec9e49c0c26d5a4","1","4","229800","https://p.scdn.co/mp3-preview/8a454a97180c8a143002d4e738aceaa61d4ec984?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","GBBRE0200021","spotify:user:11100324499","2020-10-06T03:57:00Z"
"spotify:track:69T4iEoAPo1MZ2tv8ppUCW","Exquisite Tension","spotify:artist:1tHzhv6nGl2i5ZaSSFiwK7","You'll Never Get to Heaven","spotify:album:19cgLdAiYjhCaMTSKgMNR3","Images","spotify:artist:1tHzhv6nGl2i5ZaSSFiwK7","You'll Never Get to Heaven","2017-03-24","https://i.scdn.co/image/ab67616d0000b273bfd8a5007f113c23d6ca9b62","1","8","248295","","false","3","USQY51706253","spotify:user:11100324499","2020-10-06T03:57:15Z"
"spotify:track:4XP17vNlVBsve0CcfabpOd","ミュージシャン","spotify:artist:61H9d7hbIfFNxJJQmIL9AJ","Kinokoteikoku","spotify:album:3PYWQo89juaAr0HooKtfEH","eureka","spotify:artist:61H9d7hbIfFNxJJQmIL9AJ","Kinokoteikoku","2013-02-06","https://i.scdn.co/image/ab67616d0000b2731c2f4ef2d6646ea6c31a55ca","1","8","531253","https://p.scdn.co/mp3-preview/720807c9f9e0426323b9d139affbae5bf82b848a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","JPB451202870","spotify:user:11100324499","2020-10-06T03:57:28Z"
"spotify:track:3JP07n971cicxJ2xCJhiqB","Opia","spotify:artist:0NsL0iHM7x5iahPLXXGf9C","Grivo","spotify:album:7Fm8mlAY6hvDiNWkXtiboP","Elude","spotify:artist:0NsL0iHM7x5iahPLXXGf9C","Grivo","2018-11-09","https://i.scdn.co/image/ab67616d0000b27325fac4481328edda5cd5af55","1","4","363680","https://p.scdn.co/mp3-preview/f5475bc387f6d8ff3e8d0ad3c1d037e934ae2980?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USA2P1869864","spotify:user:11100324499","2020-10-06T03:57:45Z"
"spotify:track:11HCS8E6veZP3Mkf3f5Kal","Warmth of You","spotify:artist:4nhaUpMjrBW8vywsP2yzzD","Planning For Burial","spotify:album:31lWxuVOP2hrbyqetVueTW","Below the House","spotify:artist:4nhaUpMjrBW8vywsP2yzzD","Planning For Burial","2017-03-10","https://i.scdn.co/image/ab67616d0000b2733cafa7fc764da734153038e2","1","4","213426","https://p.scdn.co/mp3-preview/3e406c777f414444ac29f304ffe61560c31ab22f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USA2Z1611575","spotify:user:11100324499","2020-10-06T03:58:05Z"
"spotify:track:7EzKrIF3T2XqUZfhnHw5CE","Endlessly","spotify:artist:60mqEPQp1eNjuwt1Z4yL4J","Nothing","spotify:album:2bBtD1q0hKNztuOLGcToL6","Guilty of Everything","spotify:artist:60mqEPQp1eNjuwt1Z4yL4J","Nothing","2014-03-03","https://i.scdn.co/image/6652714d1a435397e47069365ecbef1981395256","1","4","253664","https://p.scdn.co/mp3-preview/437fb338b80707bedb83efd11f59e19816367e56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","US2641424704","spotify:user:11100324499","2020-10-06T03:58:33Z"
"spotify:track:5Jl1QnoXsEsRJOOoXHApab","Out of Mind","spotify:artist:4OrizGCKhOrW6iDDJHN9xd","DIIV","spotify:album:5PPPABn2aZ0jRuHPMONwSR","Is the Is Are","spotify:artist:4OrizGCKhOrW6iDDJHN9xd","DIIV","2016-02-05","https://i.scdn.co/image/ab67616d0000b2735172f44c5f8743c09fb5bbc8","1","1","188050","","false","0","QMMZN1300927","spotify:user:11100324499","2020-10-06T03:58:46Z"
"spotify:track:4XOC6MmNqcwI1jupJ859eB","State of Main","spotify:artist:4yL8ioKD21wc6BuJWlRp7F","Scout","spotify:album:3jnCffxbMp26rDbmtmNLkK","It Seemed Like A Good Idea At The Time","spotify:artist:4yL8ioKD21wc6BuJWlRp7F","Scout","2000-01-01","https://i.scdn.co/image/ab67616d0000b273a5b080ce8262fd8018e2a3f0","1","1","278600","https://p.scdn.co/mp3-preview/b3d19a901f8eb9c7bb703a58d9b28806ed95b59b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","uscgj0588149","spotify:user:11100324499","2020-10-16T05:10:58Z"
"spotify:track:4VXIryQMWpIdGgYR4TrjT1","All Girls Are The Same","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:6tkjU4Umpo79wwkgPMV3nZ","Goodbye & Good Riddance","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2018-12-10","https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4","1","2","165819","","true","87","USUG11800651","spotify:user:11100324499","2020-10-22T19:38:12Z"
