"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5fOOQFVHQb1M58iSYebKeW","Analyse","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:4QSIeDnAnGag2YZ5DjB2eB","The Eraser","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2006-07-10","https://i.scdn.co/image/ab67616d0000b273132e1996896c6bd1ac4e51e8","1","2","242786","","false","0","GBBKS0600028","spotify:user:yigitardasen","2021-10-04T19:12:59Z"
"spotify:track:4VbV8Zyjuu1qz0QteX1wVC","Black Swan","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:4QSIeDnAnGag2YZ5DjB2eB","The Eraser","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2006-07-10","https://i.scdn.co/image/ab67616d0000b273132e1996896c6bd1ac4e51e8","1","4","289826","","true","0","GBBKS0600030","spotify:user:yigitardasen","2021-10-04T19:13:03Z"
"spotify:track:2C3xIudHEjCIS5KT4JuM0b","Harrowdown Hill","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:4QSIeDnAnGag2YZ5DjB2eB","The Eraser","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2006-07-10","https://i.scdn.co/image/ab67616d0000b273132e1996896c6bd1ac4e51e8","1","8","278640","","false","0","GBBKS0600034","spotify:user:yigitardasen","2021-10-04T19:13:08Z"
"spotify:track:0rlfGg5Ym6J9AA97ah7voH","Suspirium","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:0nZg85VbGkPcr7zQ6EsJKa","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b27324d34e800313040a1001e590","1","3","201768","","false","0","GB4YG1800147","spotify:user:yigitardasen","2021-10-04T19:13:16Z"
"spotify:track:3uqx1JmyAiuVk6YW0HSeAn","Unmade","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:2UehMLybYgLuuNHRNJpbCB","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c","1","13","267454","https://p.scdn.co/mp3-preview/53c123ec1bb719c5d180cefd0c6ef8710bbf8953?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GB4YG1800157","spotify:user:yigitardasen","2021-10-04T19:13:56Z"
"spotify:track:1qyD5xpCI53VtITnxwB5Xn","Isobel","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:3p7WXDBxhC5KS9IFXnwae7","Post","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1995-06-13","https://i.scdn.co/image/ab67616d0000b2735092260f47e0d95717b834c3","1","7","347026","","false","48","GBBTF0200250","spotify:user:yigitardasen","2021-10-04T19:14:09Z"
"spotify:track:5BQ7QRKTkw2qhN2bq0rZW7","It's Not Up To You","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:4u3MPfHM60rFFULJebZIay","Vespertine","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","2001-08-27","https://i.scdn.co/image/ab67616d0000b2733d15323e148511fc307d95bd","1","3","308960","","false","46","GBBTF0100010","spotify:user:yigitardasen","2021-10-04T19:14:28Z"
"spotify:track:0zQnCy0NCcBmQcsl2PBNE3","Hunter","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:3knDOJUQBAATXsKYLWO4k8","Homogenic","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1997-09-22","https://i.scdn.co/image/ab67616d0000b273b6f50e46dac445dff914a56f","1","1","255266","","false","51","GBBTF9700142","spotify:user:yigitardasen","2021-10-04T19:14:15Z"
"spotify:track:75VaR01CuZD1TOePotCu16","The Modern Things","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:3p7WXDBxhC5KS9IFXnwae7","Post","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1995-06-13","https://i.scdn.co/image/ab67616d0000b2735092260f47e0d95717b834c3","1","3","250026","","false","42","GBBTF9500058","spotify:user:yigitardasen","2021-10-04T19:14:23Z"
"spotify:track:0bHpsorTpt9wX6Dkr2LEfg","Come To Me","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","9","295360","","false","54","GBBTF9300124","spotify:user:yigitardasen","2021-10-04T19:14:36Z"
"spotify:track:588enFce7wlR7Es4a6tgMF","Vokuro","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:12n9nyAJ5Q4FHRldrciIPG","Medúlla","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","2004-08-31","https://i.scdn.co/image/ab67616d0000b2734f70220d934183ce2db16d6a","1","4","194040","","false","31","GBBTF0400301","spotify:user:yigitardasen","2021-10-04T19:14:41Z"
"spotify:track:0OvdRoDfURtlK6d4yI8tG8","I Want None of This","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:0atRA7Bn58frqix8ghCVrT","I Want None of This","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2005-09-09","https://i.scdn.co/image/ab67616d0000b273ec097a90a32722acccdd11ba","1","1","193653","","false","0","GBBKS0562773","spotify:user:yigitardasen","2021-10-04T19:15:34Z"
"spotify:track:1pX7VlGPmb1P7Mbtlnvt2p","Harrowdown Hill","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:4X8Y79gWo6xm7Osdapg58E","The Eraser","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2006-07-10","https://i.scdn.co/image/ab67616d0000b273691b5e122dee32f6dcb7894b","1","8","278640","https://p.scdn.co/mp3-preview/ce9323c2de12b3b89ed4e8c22e3b20f1e7d03a86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBBKS0600034","spotify:user:yigitardasen","2021-10-04T19:16:14Z"
"spotify:track:4jF3THVe40jCfgMXOWS5C0","I’ve Seen It All","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:7r2Viryrm2jIyfb7XcFe20","Selma Songs","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","2000-09-18","https://i.scdn.co/image/ab67616d0000b27360d497d322979c47db9dd84b","1","3","329360","","false","42","GBBTF0000163","spotify:user:yigitardasen","2021-10-04T19:11:57Z"
"spotify:track:61QEkw7VnsH9kWUm1Zjunq","Like Someone In Love","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","5","273400","","false","46","GBBTF9300121","spotify:user:yigitardasen","2021-10-07T20:50:03Z"
