"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2duX3mKhMURuNeRwQwrkzN","Ayrılık","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","1","341933","","false","0","TR5940800065","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:3p0fkDP2YuT94um17MoKYw","Odam Kireçtir Benim","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","2","277733","","false","0","TR5940800066","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:5b9BJEdfosXXaUI1vA7Fgu","Leylim Ley","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","3","298306","","false","0","TR5940800067","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:0fcG6Fwsro6KWkWmlJ46Ya","Ayaz Geceler","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","4","311733","","false","0","TR5940800068","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:1EnAqg88aWHSoiiFrRBFgP","Kimbilir","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","5","234360","","false","0","TR5940800069","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:4NJk0lLs8yStxeTOcsrBAh","Gurbet","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","6","206506","","false","0","TR5940800070","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:2QqJ1ei2Yoh2tEchOJD4fk","Uzun İnce Bir Yoldayım","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","7","221800","","false","0","TR5940800071","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:5JMrttkBKF8mivhaOrbiBM","Seviyorum Onu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","8","223160","","false","0","TR5940800072","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:781UeVyMJ9yt5Sb6oORu3k","Bir Bahar Akşamı","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","9","269440","","false","0","TR5940800073","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:1h8p9KnIlvDOl8KBdzHaJj","Büyüleyen Gözlerinle","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","10","232533","","false","0","TR5940800074","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:0wzYQ5FGjOSFHkyIJvyP2x","Dane Dane Benlerin","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","11","196933","","false","0","TR5940800075","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:6hFUGCP7FRBxVUPcyDXlS6","Yar Saçların Lüle Lüle","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","12","203893","","false","0","TR5940800076","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:5mFgsFAYCD7UZ3tGUHM3n1","Misget","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","13","239506","","false","0","TR5940800077","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:6UiTVohwm9DYuu9oUfergO","Beyaz Gül","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","14","254466","","false","0","TR5940800078","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
"spotify:track:5DCVBfJgAxYEZZISj7X63F","Çayırda Buldum Seni","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","15","233666","","false","0","TR5940800079","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:12:51Z"
