"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5LsS7gOqxIIdz4DVtpBi4A","パッヘルベルのカノン - beautiful sleep ver.","spotify:artist:2acDvNu4hqCoCPlUdehoj2","Shinya Kiyozuka","spotify:album:7H191esP6oW2m58tzIDfhZ","眠るためのピアノアルバム~beautiful sleep~","spotify:artist:2acDvNu4hqCoCPlUdehoj2","Shinya Kiyozuka","2021-09-01","https://i.scdn.co/image/ab67616d0000b27373dd9617262b1c5cda9a3737","1","3","201306","","false","43","JPPO02102542","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:010ALbbh5KlQ4fKWgSdhRd","Look On Down From The Bridge","spotify:artist:37w38cCSGgKLdayTRjna4W","Mazzy Star","spotify:album:4mhpbf7jYc0L1nBceoebIE","Among My Swan","spotify:artist:37w38cCSGgKLdayTRjna4W","Mazzy Star","1996-10-29","https://i.scdn.co/image/ab67616d0000b27340f8e560e743f9b5d382c0af","1","12","287893","","false","63","USCA29600651","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7eA6LDdLF7Tnw8cBDxSu0Y","Avalyn I","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7761KE2C9rH1QO9WAE1Ysb","Just For A Day","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1991","https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4","2","2","292093","https://p.scdn.co/mp3-preview/826ec6c36974f75396e0222e574c59633f036f0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBBQY0400049","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3o9uL1uNPcen0lItb1Hw3m","Hang Me, Oh Hang Me","spotify:artist:5opRYqktzpMFqZ7jtnp7yy, spotify:artist:4gFssfOmWNY3LfIZ3zyoy4, spotify:artist:5fIZHCg2de8322HZodBDWL","Oscar Isaac, Punch Brothers, The Secret Sisters","spotify:album:6t4h3psMfV6uQ49CmZklhn","Another Day, Another Time: Celebrating the Music of 'Inside Llewyn Davis'","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-01-09","https://i.scdn.co/image/ab67616d0000b2736dedfb8bb375b661f56881a2","1","23","266960","https://p.scdn.co/mp3-preview/b0a405ec5bab72127fdfb526bd710263ad7168e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USNO11400759","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1Vk4yRsz0iBzDiZEoFMQyv","Mia & Sebastian’s Theme","spotify:artist:2snm3HmsnDUDxbIChdl2Oj","Justin Hurwitz","spotify:album:3GU8BzFEAdFSRjc8jZkL3S","La La Land (Original Motion Picture Soundtrack)","spotify:artist:2snm3HmsnDUDxbIChdl2Oj, spotify:artist:1A2uplrPcSu6bqDaRp7Xs9, spotify:artist:0qKRRwXdVtrVIEdPFr8vvo","Justin Hurwitz, Justin Paul, Benj Pasek","2016-12-09","https://i.scdn.co/image/ab67616d0000b2730bdf4dd39843ad48c5b66bc4","1","3","98040","","false","70","USUG11600660","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2n1xmx0t8derOcHzqn2NNs","Hands In The Dark","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6OqegZkCUq29CJarqL8trP","Cherry (Deluxe)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2017-12-09","https://i.scdn.co/image/ab67616d0000b273d24ace45b14f77bb5b1e22c8","1","8","318020","https://p.scdn.co/mp3-preview/9f902ea5d92ed2d82e6b6c752d970ca0b90ba769?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","QMMMF1600001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3nVr75rx4FFrXGkuwU5CCg","Red Rock Riviera","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","11","413476","https://p.scdn.co/mp3-preview/a14d139b12a92db9411ebf4f7545438cbefc6662?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBCVZ1303450","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4axSuOg3BqsowKjRpj59RU","Carolina - From The Motion Picture “Where The Crawdads Sing”","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:5Bwg2XxrjTlrNy6BC7KQZf","Carolina (From The Motion Picture “Where The Crawdads Sing”)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2022-06-24","https://i.scdn.co/image/ab67616d0000b2732c683c1b9fa1b711499408f7","1","1","264438","","false","70","USUG12200226","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2X2WCcpkmOqdTKfD7C1zyq","Salem's Secret","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6IsNOcqDWih1ZWc4RLuVaF","Dark Magic Music","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-09-19","https://i.scdn.co/image/ab67616d0000b273341ff8b627a335641e46ae8b","1","5","244000","https://p.scdn.co/mp3-preview/fd35b31198281d1255b8c15034e8a34ee8c82878?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QZHN51959051","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:49n8QPLERHIkG5vi1lTeGX","Tears From Heaven","spotify:artist:2OuSnRT9BKAvFuw0yoTim0","Desire","spotify:album:2Vk2eN6ZLtNGbwOMmNJcte","Tears From Heaven","spotify:artist:2OuSnRT9BKAvFuw0yoTim0","Desire","2018-10-12","https://i.scdn.co/image/ab67616d0000b2730f52280b0328d04b869ca70e","1","1","225840","https://p.scdn.co/mp3-preview/048fddca2f2704d65d3e2096d70e903eea40a2f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QM24S1835674","spotify:user:","1970-01-01T00:00:00Z"
