"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:51kScDsM3fz1XLnaM7AYg8","Zamparanın Ölümü","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","spotify:album:24JDfbTvl6EDZvRQLbNAy6","17","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","2000-04-28","https://i.scdn.co/image/ab67616d0000b273e4d6c8a66d43a753f821038a","1","9","252133","","false","48","TR2150600219","spotify:user:11100324499","2021-02-02T10:03:21Z"
"spotify:track:5p9vaeaayohnBVSTVSyVBN","Kardelen","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","spotify:album:6eMkysyk568crDy2HN9WQy","O","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","1998-06-19","https://i.scdn.co/image/ab67616d0000b273fb14bfa9aad2798ec7a9949c","1","3","215666","","false","38","TR2150600203","spotify:user:11100324499","2021-02-02T10:04:06Z"
"spotify:track:6IQkc9xHpZ0CFF9SXrPwK4","Uykusuz Her Gece","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","spotify:album:24JDfbTvl6EDZvRQLbNAy6","17","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","2000-04-28","https://i.scdn.co/image/ab67616d0000b273e4d6c8a66d43a753f821038a","1","4","233333","","false","52","TR2150600214","spotify:user:11100324499","2021-02-02T10:04:10Z"
"spotify:track:0wfkykHmmVoXW34wVY53h1","Ruhun Sarışın","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","spotify:album:4VKn7JdaRQDa9rfA50D7or","İnsanlık Halleri","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","2009-03-31","https://i.scdn.co/image/ab67616d0000b273c51c8a1c0d85286caeb438b8","1","4","257106","","false","0","TR0530902173","spotify:user:11100324499","2021-02-02T10:04:12Z"
"spotify:track:6JKWUVN8flAxfXMnuWdezp","Anlıyorsun Değil Mi?","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","spotify:album:6FNuIoN5vvqoNsK80yqAuP","Gönülçelen","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","2001-12-01","https://i.scdn.co/image/ab67616d0000b27318011d8f8e98491e8b8fac31","1","2","211466","","false","48","TR2150600229","spotify:user:11100324499","2021-02-02T10:04:14Z"
"spotify:track:6vS6aMSpWDGqugmQ2NsE0l","İstasyon İnsanları","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","spotify:album:6FNuIoN5vvqoNsK80yqAuP","Gönülçelen","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","2001-12-01","https://i.scdn.co/image/ab67616d0000b27318011d8f8e98491e8b8fac31","1","5","252106","","false","41","TR2150600232","spotify:user:11100324499","2021-02-02T10:04:18Z"
"spotify:track:7xerL9EGmTpu0r7R4Uzd3Z","Gündüz Tarifesi","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","spotify:album:24JDfbTvl6EDZvRQLbNAy6","17","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","2000-04-28","https://i.scdn.co/image/ab67616d0000b273e4d6c8a66d43a753f821038a","1","6","191866","","false","34","TR2150600216","spotify:user:11100324499","2021-02-02T10:05:31Z"
"spotify:track:3xpLQhhZIbU4piQtK0JOFK","Tek Başına Dans","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","spotify:album:4uELJigxnlm10oPP2nx7By","Aşk & Gurur","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","2011-05-09","https://i.scdn.co/image/ab67616d0000b273148bd5472cc977503382e0e1","1","1","227631","","false","0","TR0531102483","spotify:user:11100324499","2021-02-02T10:05:32Z"
"spotify:track:235EqRpuMiet5P4O5NBj3U","17","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","spotify:album:24JDfbTvl6EDZvRQLbNAy6","17","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","2000-04-28","https://i.scdn.co/image/ab67616d0000b273e4d6c8a66d43a753f821038a","1","2","226400","","false","51","TR2150600212","spotify:user:11100324499","2021-02-02T10:05:36Z"
"spotify:track:1Bt0xeG1RgpHSGl3cGFncu","Kadının Gidişi","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","spotify:album:31T0LayJg1oq9KL30lxpTc","Eski Bir Rüya Uğruna...","spotify:artist:40KlwpvpKEQtZTJgbml8lT","Teoman","2015-03-16","https://i.scdn.co/image/ab67616d0000b273d8541b2acfc75a317a0e1503","1","9","234266","","false","0","TR0531505511","spotify:user:11100324499","2021-02-02T10:05:41Z"
