"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1R3MEnAeJwbIewPgZbcTZR","Metempsychosis","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","spotify:album:1l5aapsTGaOJs9Pcilynpg","Zirconium Meconium","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","2015-09-25","https://i.scdn.co/image/ab67616d0000b273ed06f023c2933f60c3bde525","1","1","93480","https://p.scdn.co/mp3-preview/b24e5e9e8b301cb44b0fd1014a9193a6cd5d113b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","UK32S1500096","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:11Z"
"spotify:track:38LtX7xg97GvqU2YK5pugB","Rounder ||","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","spotify:album:1l5aapsTGaOJs9Pcilynpg","Zirconium Meconium","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","2015-09-25","https://i.scdn.co/image/ab67616d0000b273ed06f023c2933f60c3bde525","1","2","199640","https://p.scdn.co/mp3-preview/5b4a72b92c4fde94b5dba3a33ed3bfb3c5a97df2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","UK32S1500097","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:11Z"
"spotify:track:75zNK9V3qmtuMx5FssXz8a","Hinterland","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","spotify:album:1l5aapsTGaOJs9Pcilynpg","Zirconium Meconium","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","2015-09-25","https://i.scdn.co/image/ab67616d0000b273ed06f023c2933f60c3bde525","1","3","289026","https://p.scdn.co/mp3-preview/35d2404978b7bb1640d96f5f8de4bd9717a1460f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","UK32S1500098","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:11Z"
"spotify:track:2N5sOft3petqpyOkeh5X4r","Peace Crimes","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","spotify:album:1l5aapsTGaOJs9Pcilynpg","Zirconium Meconium","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","2015-09-25","https://i.scdn.co/image/ab67616d0000b273ed06f023c2933f60c3bde525","1","4","149546","https://p.scdn.co/mp3-preview/2fcf2e68ace7131f1f9de40acf231644b89ce6c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","UK32S1500099","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:11Z"
"spotify:track:02AFC9sbz0MvGjNfXyOm5A","Surf's Up!...Nevermind","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","spotify:album:1l5aapsTGaOJs9Pcilynpg","Zirconium Meconium","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","2015-09-25","https://i.scdn.co/image/ab67616d0000b273ed06f023c2933f60c3bde525","1","5","205653","https://p.scdn.co/mp3-preview/29fd90493340c32fd867111b3e77c1a6a25532cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","UK32S1500100","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:11Z"
"spotify:track:3JYwMEcZYJZqcL2zuv5IGK","Long Tall Stranger","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","spotify:album:1l5aapsTGaOJs9Pcilynpg","Zirconium Meconium","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","2015-09-25","https://i.scdn.co/image/ab67616d0000b273ed06f023c2933f60c3bde525","1","6","220880","https://p.scdn.co/mp3-preview/f9bc29ddaed2b03b450b68fcc72037a150e1dc71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","UK32S1500101","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:11Z"
"spotify:track:7dkoU1UTJaGIHtuXcQeZpB","Maritime Mammals","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","spotify:album:1l5aapsTGaOJs9Pcilynpg","Zirconium Meconium","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","2015-09-25","https://i.scdn.co/image/ab67616d0000b273ed06f023c2933f60c3bde525","1","7","192293","https://p.scdn.co/mp3-preview/dd9ca8a7a47103c6d53bb0cc03c48beab54e5941?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","UK32S1500102","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:11Z"
"spotify:track:15VBCAdZZmTw6n5lMNfNFD","Fathoms","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","spotify:album:1l5aapsTGaOJs9Pcilynpg","Zirconium Meconium","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","2015-09-25","https://i.scdn.co/image/ab67616d0000b273ed06f023c2933f60c3bde525","1","8","227986","https://p.scdn.co/mp3-preview/bfbe45d3046aa0b6efc4b60695503ecef5202a97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","UK32S1500103","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:11Z"
"spotify:track:3tQBuzJPIvzlpR4r9acbQL","1518","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","spotify:album:1l5aapsTGaOJs9Pcilynpg","Zirconium Meconium","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","2015-09-25","https://i.scdn.co/image/ab67616d0000b273ed06f023c2933f60c3bde525","1","9","246146","https://p.scdn.co/mp3-preview/d3a1712e282c296a7f4897c26e94bbf1d9ffb0d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","UK32S1500104","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:11Z"
"spotify:track:2MNUcuedKLbzAlpb6C5x2w","Sun Moth","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","spotify:album:1l5aapsTGaOJs9Pcilynpg","Zirconium Meconium","spotify:artist:02Bl8I5jXlMRfDSL5swBOm","Fever the Ghost","2015-09-25","https://i.scdn.co/image/ab67616d0000b273ed06f023c2933f60c3bde525","1","10","251973","https://p.scdn.co/mp3-preview/a5365b00352de6329fe816af3742374822881732?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","UK32S1500105","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:11Z"
