"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:47p3fsAuW9dWO6J4VrEAS7","На Заре","spotify:artist:0RhwVQewjVG0jHaXtDQaqA","Alyans","spotify:album:0MeE4qEFpCnVvWDmOu9Mgy","На заре (Part 1)","spotify:artist:0RhwVQewjVG0jHaXtDQaqA","Alyans","1987-10-16","https://i.scdn.co/image/ab67616d0000b273f6ebf80bf4a81c6169cd2c92","1","5","345373","","false","0","RUB521208630","spotify:user:h860yo7llu45grqygsccqwgj6","2022-08-14T18:15:37Z"
"spotify:track:56Z7hbyMrndw1naxb6I5Oi","Reckoner","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:7eyQXxuf2nGj9d2367Gi5f","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b27334733f87148c2fbe0176abdb","1","7","290213","","false","0","GBSTK0700007","spotify:user:h860yo7llu45grqygsccqwgj6","2022-08-14T18:17:57Z"
"spotify:track:55q3Ro66yXWi9rsEddeEN4","Pyramid Song","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:1HrMmB5useeZ0F5lHrMvl0","Amnesiac","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2001-03-12","https://i.scdn.co/image/ab67616d0000b273863e0e305637100311c91aa7","1","2","288733","https://p.scdn.co/mp3-preview/2fd8d104a08e3a87e71f86791559ce692ce30192?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAYE0001578","spotify:user:h860yo7llu45grqygsccqwgj6","2022-08-14T18:22:15Z"
"spotify:track:1ZqZxQHUlPVZKZ1qFqOowq","Валюты обеих стран","spotify:artist:0pGg6NMyCRFkT1NLQPpvLr","Sierpien","spotify:album:2ncKiBUXXYgYOPxiicVSmB","Смердит до самых звёзд","spotify:artist:0pGg6NMyCRFkT1NLQPpvLr","Sierpien","2016-01-16","https://i.scdn.co/image/ab67616d0000b273f3258a4be36252822d6ca123","1","7","159563","https://p.scdn.co/mp3-preview/41f0a8d8cedf6beefe3c0005f4e7618669ee627c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","FR96X1995949","spotify:user:h860yo7llu45grqygsccqwgj6","2022-08-14T18:29:05Z"
"spotify:track:2kRFrWaLWiKq48YYVdGcm8","Everything In Its Right Place","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:6GjwtEZcfenmOf6l18N7T7","Kid A","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2000-10-02","https://i.scdn.co/image/ab67616d0000b2736c7112082b63beefffe40151","1","1","251426","https://p.scdn.co/mp3-preview/d6d2556bf783e481173a71c460fa113832295519?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBAYE0000810","spotify:user:h860yo7llu45grqygsccqwgj6","2022-08-22T20:21:04Z"
"spotify:track:1JRDjdUYViUZPGDue1CENL","This Wheel's On Fire","spotify:artist:1n65zfwYIj5kKEtNgxUlWb","Siouxsie and the Banshees","spotify:album:7AfRVBG3Kgmo9TkX4pChPX","The Best Of...","spotify:artist:1n65zfwYIj5kKEtNgxUlWb","Siouxsie and the Banshees","2002-11-12","https://i.scdn.co/image/ab67616d0000b2738b094bbf9f89ec2f7a9a6524","1","15","342800","","false","36","GBAKW0201466","spotify:user:h860yo7llu45grqygsccqwgj6","2022-09-02T10:38:16Z"
"spotify:track:2HZLXBOnaSRhXStMLrq9fD","Mary On A Cross","spotify:artist:1Qp56T7n950O3EGMsSl81D","Ghost","spotify:album:6eOWfFjfBPRsAW0ZS4sbaF","Seven Inches Of Satanic Panic","spotify:artist:1Qp56T7n950O3EGMsSl81D","Ghost","2019-09-13","https://i.scdn.co/image/ab67616d0000b273bef9b0a348ea8dd18a581025","1","2","244804","","false","84","USC4R1902750","spotify:user:h860yo7llu45grqygsccqwgj6","2022-09-02T10:38:17Z"
"spotify:track:3jQBAyQVJSl9fc6l4tsWWP","40 Days","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:4i21O3uVh5palcfFhCjlT7","Souvlaki","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1994-11-05","https://i.scdn.co/image/ab67616d0000b27353da07db25e2543cce38abfe","1","3","195573","https://p.scdn.co/mp3-preview/e00ca1ad178c6eb773de5b350b7b5640ea2470de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBBQY0400037","spotify:user:h860yo7llu45grqygsccqwgj6","2022-09-02T10:38:18Z"
"spotify:track:6RDVwKLpBBEksWdp9jwBlD","Poison Tree","spotify:artist:31uyAcnY0kjjKKIQZMKX4i","Grouper","spotify:album:3vMDgHTapJG43G5rrBg3SE","Inca Ore / Grouper","spotify:artist:1ZF5q6erhq7fpctf5WJQ7x, spotify:artist:31uyAcnY0kjjKKIQZMKX4i","Inca Ore, Grouper","2008-06-03","https://i.scdn.co/image/ab67616d0000b2735e72d322723bdbff32320cd0","1","2","196893","","false","0","ES7120810064","spotify:user:h860yo7llu45grqygsccqwgj6","2022-09-02T10:38:19Z"
"spotify:track:2XiLUtwTQz5b9aSWj23pPa","We Are Electric","spotify:artist:0b0HjXjfkApMcVJqsH8wYX","Vandal Moon","spotify:album:6Z8qGpueRVwXM3M2orJtBr","Black Kiss","spotify:artist:0b0HjXjfkApMcVJqsH8wYX","Vandal Moon","2020-05-15","https://i.scdn.co/image/ab67616d0000b27304c0526fe7a2a540d24e9b2e","1","4","293033","https://p.scdn.co/mp3-preview/ba417038cbc700bf08e99af424bb97b353402426?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","QZFZ72002865","spotify:user:h860yo7llu45grqygsccqwgj6","2022-09-02T10:38:21Z"
