"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6C0wK49dMqpULLzUq5iSyq","the end of all you'll know","spotify:artist:18Xy9oGF9CxiU9luAp3Dzu","Scott Matthew","spotify:album:6LV6Mk6uHLvj4lKfYPjtsI","攻殻機動隊 STAND ALONE COMPLEX O.S.T.3","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b2735b34ae26e7d69dfd5543a556","1","1","139262","https://p.scdn.co/mp3-preview/bc8f62435c8b9716e9e370c804190e4289cda7bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","JPVI00520400","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-09T00:50:23Z"
"spotify:track:498qK0pKI5Q148HyV8bqli","トルキア","spotify:artist:1KvNXSn0FKGELFRpfm3ONi","Gabriela Robin","spotify:album:6LV6Mk6uHLvj4lKfYPjtsI","攻殻機動隊 STAND ALONE COMPLEX O.S.T.3","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b2735b34ae26e7d69dfd5543a556","1","2","368708","https://p.scdn.co/mp3-preview/e828ee874c94276f1ee59004017f9ada50007ad0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","JPVI00520410","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-09T00:50:23Z"
"spotify:track:0Ob7QRMLeXwbF7SorY7sQ5","know your enemy","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","spotify:album:6LV6Mk6uHLvj4lKfYPjtsI","攻殻機動隊 STAND ALONE COMPLEX O.S.T.3","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b2735b34ae26e7d69dfd5543a556","1","3","381227","https://p.scdn.co/mp3-preview/1a367ab3134ef08064648c99a748efa808f3cc3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","JPVI00520420","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-09T00:50:23Z"
"spotify:track:74wLP5qRcgU56DqqOUC9Im","レーザーシーカー","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","spotify:album:6LV6Mk6uHLvj4lKfYPjtsI","攻殻機動隊 STAND ALONE COMPLEX O.S.T.3","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b2735b34ae26e7d69dfd5543a556","1","4","195452","https://p.scdn.co/mp3-preview/1032a719d949556d1e3878d056e99fa141b458c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","JPVI00520440","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-09T00:50:23Z"
"spotify:track:1qfiiOuFK2M17LX56lAlLZ","break through","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","spotify:album:6LV6Mk6uHLvj4lKfYPjtsI","攻殻機動隊 STAND ALONE COMPLEX O.S.T.3","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b2735b34ae26e7d69dfd5543a556","1","5","156879","https://p.scdn.co/mp3-preview/b310e58da66db4da04478e9b182494f7090c13cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","JPVI00520450","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-09T00:50:23Z"
"spotify:track:3cNIxYTOsrXhNp4HLE4lCc","flying low","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","spotify:album:6LV6Mk6uHLvj4lKfYPjtsI","攻殻機動隊 STAND ALONE COMPLEX O.S.T.3","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b2735b34ae26e7d69dfd5543a556","1","6","272222","https://p.scdn.co/mp3-preview/943344aacaf923141153ed19db5558fcd00e26a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","JPVI00520460","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-09T00:50:23Z"
"spotify:track:2R1Jvn1ouDRI7XadcQG1fb","エウロペ","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","spotify:album:6LV6Mk6uHLvj4lKfYPjtsI","攻殻機動隊 STAND ALONE COMPLEX O.S.T.3","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b2735b34ae26e7d69dfd5543a556","1","7","270320","https://p.scdn.co/mp3-preview/54c8bdaf4b39776a31e62724622972090dd4abe9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","JPVI00520470","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-09T00:50:23Z"
"spotify:track:2QL2WFSUQs308JT7ZrZSFp","半島の東","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","spotify:album:6LV6Mk6uHLvj4lKfYPjtsI","攻殻機動隊 STAND ALONE COMPLEX O.S.T.3","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b2735b34ae26e7d69dfd5543a556","1","8","242123","https://p.scdn.co/mp3-preview/2c52dee94f57d92766b6ca341268765efcffde04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","JPVI00520480","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-09T00:50:23Z"
"spotify:track:2Hf3GuJdeJst7wkU6uC9vk","未完成ラブストーリー","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","spotify:album:6LV6Mk6uHLvj4lKfYPjtsI","攻殻機動隊 STAND ALONE COMPLEX O.S.T.3","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b2735b34ae26e7d69dfd5543a556","1","9","108294","https://p.scdn.co/mp3-preview/ea1d6b2979b2173e735d64f6ab435b66ebe17290?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","JPVI00520490","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-09T00:50:23Z"
"spotify:track:478Axf2lmFeyjw3ciJRbaE","Christmas in the Silent Forest","spotify:artist:57WViMLL9KfooFkVKsyODr","Ilaria Graziano","spotify:album:6LV6Mk6uHLvj4lKfYPjtsI","攻殻機動隊 STAND ALONE COMPLEX O.S.T.3","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b2735b34ae26e7d69dfd5543a556","1","10","413715","https://p.scdn.co/mp3-preview/3eb719d80efb127685c13198491dd8da64069e14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","JPVI00520500","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-09T00:50:23Z"
