"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:65QiDjsXKQ2l3n8c9hnOtN","The Vampire Masquerade","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6TNEWRKticKa2TYU6kUgFD","The Edge of Darkness","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2015-07-25","https://i.scdn.co/image/ab67616d0000b273bf26e7c0fc42bbb39eaece18","1","2","191250","https://p.scdn.co/mp3-preview/5016a1f6e6008ab9d81295c935b9e4e3316657ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","TCACH1533576","spotify:user:grudz12","2020-10-13T15:57:55Z"
"spotify:track:0bSHwuTOZVJUXWT03H9oD2","Succession (Main Title Theme)","spotify:artist:18oYqNtcLUHrqO7LfX7qni","Nicholas Britell","spotify:album:7IONINkxycqA3eIKlVZ7Bj","Succession: Season 1 (HBO Original Series Soundtrack)","spotify:artist:18oYqNtcLUHrqO7LfX7qni","Nicholas Britell","2019-08-09","https://i.scdn.co/image/ab67616d0000b273e654bc3bc09b6c1e013f74a3","1","1","102013","https://p.scdn.co/mp3-preview/ec8c04f169db2f1cd36a727e930b201bd20028b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","US5941411059","spotify:user:grudz12","2020-10-13T15:58:27Z"
"spotify:track:47ETRprpN3ztAywwUAc6Zj","It is ok to be sad and dark","spotify:artist:22No3IMhBvteEfpCo3y9gz","Kepa Lehtinen","spotify:album:1WwjYpIOkMNQdnjZEtZ7TW","It is ok to be sad and dark","spotify:artist:22No3IMhBvteEfpCo3y9gz","Kepa Lehtinen","2020-03-16","https://i.scdn.co/image/ab67616d0000b273d7d61e27d126e420d8f4a4af","1","1","156466","https://p.scdn.co/mp3-preview/e38e50953cf131a38d531a5d3b545e65621afe79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","SEYOK2008940","spotify:user:grudz12","2020-10-13T16:11:43Z"
"spotify:track:0C1RaT1eyqvoeqskbaTg3E","The Secret History","spotify:artist:2IS9rTtWwEfUEY4u3mecIT, spotify:artist:3HohCe6uYgTtBJcV4PamyK","The Chamber Orchestra Of London, Andrew Skeet","spotify:album:46Y0Rsn7iR4OqG58OS2kvM","Kerry Muzzey: The Architect","spotify:artist:2IS9rTtWwEfUEY4u3mecIT, spotify:artist:3HohCe6uYgTtBJcV4PamyK","The Chamber Orchestra Of London, Andrew Skeet","2014-08-26","https://i.scdn.co/image/ab67616d0000b2732b86d733dd42e2776570138e","1","4","302095","https://p.scdn.co/mp3-preview/97e71232da71fae706f2f8bca816125412bee40b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ushm21496801","spotify:user:grudz12","2020-10-13T16:08:46Z"
"spotify:track:1LBT3jldKFtvpm3TbfhJox","Salem's Secret","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6TNEWRKticKa2TYU6kUgFD","The Edge of Darkness","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2015-07-25","https://i.scdn.co/image/ab67616d0000b273bf26e7c0fc42bbb39eaece18","1","3","244000","https://p.scdn.co/mp3-preview/65c58e4711c5eb1c0984b11e77cf6499c01fa2e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","TCACH1533578","spotify:user:grudz12","2020-10-13T16:00:07Z"
"spotify:track:5zYnusk4oimGZWQK88KmOt","Fottiamci anima mia","spotify:artist:2LvhyFvUCDJ7gFuEBOcrM8, spotify:artist:7zejo99XCAwPzycPCCaoM8, spotify:artist:2jcj8VZu41vKLFhjKlUK8U","Michael Nyman, Michael Nyman Band, Marie Angel","spotify:album:6J4RuVlZJXlU2bzD1AzO29","8 Lust Songs: I Sonetti Lussuriosi","spotify:artist:2LvhyFvUCDJ7gFuEBOcrM8, spotify:artist:7zejo99XCAwPzycPCCaoM8, spotify:artist:2jcj8VZu41vKLFhjKlUK8U","Michael Nyman, Michael Nyman Band, Marie Angel","2008-06-02","https://i.scdn.co/image/ab67616d0000b27316cf4abf0b3c5cb66e54da2c","1","2","349146","","false","0","GBDVE0800013","spotify:user:grudz12","2020-10-13T15:58:49Z"
"spotify:track:79Kil59w7CQWor8NY2W6zv","The Last Dance","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:4hVh7qvFKHd5T7sKdulNIC","The Shadow's Bride","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2016-04-02","https://i.scdn.co/image/ab67616d0000b2738b6240e5230301ecfadaa3df","1","6","194400","https://p.scdn.co/mp3-preview/c67115079c424c5682955998831fc3a852bcbd78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","TCACN1629472","spotify:user:grudz12","2020-10-13T16:02:20Z"
"spotify:track:2PPvpsMJfxPswybqxAT9JO","The Sacred Order","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:4cgR6oJAPpXj8LTgcIAPfU","Goëtia","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2018-07-13","https://i.scdn.co/image/ab67616d0000b273da020f0a379321a5f6740950","1","10","161000","https://p.scdn.co/mp3-preview/657cea5041365269975abd1b21d93f15eb5659fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","TCADS1810663","spotify:user:grudz12","2020-10-13T16:03:16Z"
"spotify:track:0wo1yJSf7LyixDyi7INCzA","Memories Flood My Eyes and Leave As Tears","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:18fIjWQg7S3Hr31zjZmDF7","Memories Flood My Eyes and Leave As Tears","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-04-27","https://i.scdn.co/image/ab67616d0000b27343b784de1df602ac8f44a67c","1","1","269052","https://p.scdn.co/mp3-preview/6c7fb06e9f08f48e4ce11ab3efb153b6aad73111?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QZES71991613","spotify:user:grudz12","2020-10-13T16:03:31Z"
"spotify:track:6yzTRDDBOGHdS35zKepo4d","A Vampires Heart","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6TNEWRKticKa2TYU6kUgFD","The Edge of Darkness","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2015-07-25","https://i.scdn.co/image/ab67616d0000b273bf26e7c0fc42bbb39eaece18","1","7","169168","https://p.scdn.co/mp3-preview/e22078e388fa76cba8deadc4702e3e1771a1dbe4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","TCACH1533585","spotify:user:grudz12","2020-10-13T16:06:12Z"
